"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","91.809","4.701"
"2","91.809","4.44"
"3","91.809","5.545"
"4","92.559","3.897"
"5","92.559","2.345"
"6","92.684","4.284"
"7","92.684","4.458"
"8","92.809","2.549"
"9","92.809","3.889"
"10","92.934","3.703"
"11","93.062","2.973"
"12","93.062","5.465"
"13","93.188","3.687"
"14","93.188","4.492"
"15","93.312","3.117"
"16","93.312","4.271"
"17","93.438","3.369"
"18","93.438","3.892"
"19","93.562","3.7"
"20","93.688","2.923"
"21","93.688","4.671"
"22","93.812","5.264"
"23","93.938","4.35"
"24","93.938","5.271"
"25","94.062","3.911"
"26","94.062","4.26"
"27","94.188","4.879"
"28","94.312","4.302"
"29","94.312","4.675"
"30","94.438","4.298"
