"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","89.605","5.256"
"2","90.355","3.049"
"3","91.855","3.127"
"4","92.984","5.645"
"5","93.602","4.111"
"6","93.727","4.675"
"7","93.727","4.87"
"8","93.852","4.083"
"9","93.852","4.552"
"10","93.977","5.465"
"11","94.102","3.319"
"12","94.227","4.877"
"13","94.227","4.482"
"14","94.352","4.083"
"15","94.352","4.499"
"16","94.477","4.294"
"17","94.602","4.471"
"18","94.727","4.305"
"19","94.727","3.748"
"20","94.852","2.916"
"21","94.852","4.302"
"22","94.977","3.708"
"23","95.102","3.91"
"24","95.102","2.143"
"25","95.227","4.102"
"26","95.352","3.552"
"27","95.352","3.11"
"28","95.477","4.114"
"29","95.602","2.921"
"30","95.602","2.926"
