"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","83.559","1.158"
"2","83.559","1.379"
"3","83.684","0"
"4","83.684","2.524"
"5","83.684","1.163"
"6","83.684","0.395"
"7","83.684","0.776"
"8","83.625","0.395"
"9","83.625","2.521"
"10","83.625","0.394"
"11","83.625","1.942"
"12","83.629","1.745"
"13","83.629","0"
"14","83.629","2.136"
"15","83.629","0.197"
"16","83.629","2.327"
"17","83.629","1.557"
"18","83.629","0.197"
"19","83.629","2.907"
"20","83.629","0.791"
"21","83.629","0.777"
"22","83.629","1.939"
"23","83.629","0.394"
"24","83.629","0.97"
"25","83.629","0"
"26","83.629","1.358"
"27","83.629","2.137"
"28","83.629","0.593"
"29","83.629","2.52"
"30","83.629","0.194"
