"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","83.094","1.52"
"2","83.094","2.41"
"3","83.094","1.779"
"4","83.094","0.971"
"5","83.094","2.139"
"6","83.094","2.367"
"7","83.094","4.084"
"8","83.039","3.316"
"9","83.039","5.787"
"10","83.039","3.582"
"11","83.043","2.905"
"12","83.043","6.616"
"13","83.043","3.521"
"14","83.043","3.724"
"15","83.043","2.931"
"16","83.043","2.529"
"17","83.043","1.775"
"18","83.043","0.194"
"19","83.043","1.359"
"20","83.043","0.985"
"21","83.043","0.194"
"22","83.043","2.363"
"23","83.043","1.359"
"24","83.043","2.328"
"25","83.043","1.183"
"26","83.043","2.33"
"27","83.043","1.775"
"28","83.043","1.359"
"29","83.043","1.55"
"30","83.043","0"
