"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","79.094","0"
"2","79.098","0.195"
"3","79.102","0"
"4","79.102","0.195"
"5","79.105","1.942"
"6","79.109","1.175"
"7","79.109","1.169"
"8","79.113","0.587"
"9","79.113","0"
"10","79.117","0"
