"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","70.992","3.236"
"2","70.992","1.193"
"3","71.367","0.974"
"4","71.367","1.366"
"5","71.367","1.583"
"6","71.742","0.979"
"7","71.742","1.922"
"8","71.742","1.953"
"9","72.742","0.396"
"10","72.742","1.366"
"11","72.742","1.172"
"12","72.742","1.752"
"13","72.742","1.948"
"14","72.742","1.183"
"15","72.992","0.779"
"16","72.992","1.562"
"17","73.367","2.53"
"18","74.367","1.753"
"19","74.367","1.561"
"20","74.367","0.779"
"21","74.367","0.396"
"22","74.367","1.948"
"23","74.367","2.141"
"24","74.367","1.368"
"25","74.617","0.974"
"26","74.617","2.17"
"27","74.617","0.975"
"28","75.617","0.974"
"29","75.617","0.78"
"30","75.617","1.95"
