"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","70.941","1.704"
"2","70.941","1.209"
"3","70.941","1.17"
"4","71.316","1.756"
"5","71.309","1.17"
"6","71.309","1.169"
"7","71.309","0.974"
"8","71.684","0.781"
"9","71.684","0.792"
"10","71.684","1.169"
"11","71.684","1.363"
"12","71.684","0.779"
"13","72.688","0.976"
"14","72.688","1.173"
"15","72.688","0.39"
"16","72.688","1.561"
"17","72.688","1.168"
"18","72.688","2.367"
"19","72.688","1.758"
"20","72.938","1.17"
"21","72.938","0.779"
"22","72.938","0.975"
"23","72.938","1.559"
"24","73.312","0.977"
"25","74.316","1.384"
"26","74.316","1.365"
"27","74.316","1.167"
"28","74.316","0.78"
"29","74.316","0.39"
"30","74.316","0.78"
