"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","698.973","6.026"
"2","698.973","2.559"
"3","698.973","6.219"
"4","698.973","5.037"
"5","698.973","0.989"
"6","698.973","5.419"
"7","698.973","2.727"
"8","698.973","1.375"
"9","698.973","4.478"
"10","698.973","1.379"
"11","698.973","7.364"
"12","698.973","3.753"
"13","698.973","3.679"
"14","698.914","4.086"
"15","698.887","2.95"
"16","698.887","4.665"
"17","698.895","1.381"
"18","698.898","3.876"
"19","698.898","3.685"
"20","698.898","2.76"
"21","698.898","4.677"
"22","698.898","4.858"
"23","698.898","2.364"
"24","698.898","4.856"
"25","698.898","2.955"
"26","698.898","4.661"
"27","698.898","3.101"
"28","698.898","1.972"
"29","698.898","5.805"
"30","698.898","0.991"
