"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","95.113","0.97"
"2","95.113","4.536"
"3","95.113","1.162"
"4","95.113","1.773"
"5","95.113","1.36"
"6","95.113","0"
"7","95.113","2.165"
"8","95.074","0.194"
"9","95.074","1.967"
"10","95.074","1.166"
"11","95.078","0.394"
"12","95.078","1.941"
"13","95.078","0.389"
"14","95.078","2.17"
"15","95.078","1.358"
"16","95.078","0.394"
"17","95.078","1.164"
"18","95.078","0.194"
"19","95.078","2.57"
"20","95.078","1.94"
"21","95.078","0.394"
"22","95.078","1.162"
"23","95.078","0"
"24","95.078","2.951"
"25","95.078","1.75"
"26","95.078","1.182"
"27","95.078","1.556"
"28","95.078","0"
"29","95.078","1.968"
"30","95.078","0"
