"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","706.258","4.234"
"2","706.262","6.318"
"3","706.262","2.556"
"4","706.262","5.835"
"5","706.262","3.723"
"6","706.262","5.817"
"7","706.262","3.36"
"8","706.262","5.429"
"9","706.262","3.282"
"10","706.262","5.328"
"11","706.262","4.446"
"12","706.273","7.096"
"13","706.273","4.677"
"14","706.273","6.659"
"15","706.273","4.281"
"16","706.273","4.898"
"17","706.273","6.816"
"18","706.273","6.699"
"19","706.273","4.839"
"20","706.273","3.161"
"21","706.273","7.354"
"22","706.273","2.961"
"23","706.273","6.577"
"24","706.273","3.157"
"25","706.273","4.458"
"26","706.273","4.264"
"27","706.273","4.137"
"28","706.273","6.194"
"29","706.273","6.288"
"30","706.273","1.756"
