"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","92.281","4.626"
"2","92.406","4.161"
"3","92.406","4.845"
"4","92.531","4.534"
"5","92.656","4.083"
"6","92.656","5.496"
"7","92.781","3.481"
"8","92.723","5.455"
"9","92.848","4.727"
"10","92.973","3.287"
"11","92.977","3.569"
"12","93.102","1.353"
"13","93.23","4.725"
"14","93.23","3.705"
"15","93.355","3.302"
"16","93.48","4.139"
"17","93.48","4.447"
"18","93.605","5.127"
"19","93.73","5.63"
"20","93.73","4.531"
"21","93.855","4.474"
"22","93.98","5.994"
"23","93.98","6.684"
"24","94.105","3.699"
"25","94.23","5.738"
"26","94.355","5.617"
"27","94.48","4.266"
"28","94.48","3.752"
"29","94.605","2.902"
"30","94.605","2.743"
