"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","83.5","2.296"
"2","83.5","0.198"
"3","83.5","3.747"
"4","83.5","1.359"
"5","83.5","0.394"
"6","83.5","0.97"
"7","83.5","0"
"8","83.445","3.738"
"9","83.445","2.526"
"10","83.445","1.968"
"11","83.449","4.064"
"12","83.449","1.775"
"13","83.449","3.296"
"14","83.449","1.183"
"15","83.449","2.329"
"16","83.449","2.137"
"17","83.449","0.395"
"18","83.449","1.94"
"19","83.449","0.194"
"20","83.449","3.147"
"21","83.449","1.167"
"22","83.449","1.153"
"23","83.449","1.59"
"24","83.449","1.181"
"25","83.449","3.099"
"26","83.449","0.591"
"27","83.449","1.551"
"28","83.449","0.195"
"29","83.449","1.967"
"30","83.449","0"
