"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","706.262","12.687"
"2","706.262","6.494"
"3","706.262","0"
"4","706.262","0.197"
"5","706.262","0"
"6","706.262","0.195"
"7","706.262","0.39"
"8","706.262","0.198"
"9","706.266","0.194"
"10","706.266","0.391"
