"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","79.527","4.442"
"2","80.277","3.171"
"3","81.402","4.464"
"4","81.402","3.132"
"5","81.527","4.1"
"6","81.527","2.911"
"7","81.652","3.127"
"8","81.777","4.135"
"9","81.777","4.482"
"10","81.902","3.301"
"11","81.902","3.518"
"12","82.027","1.566"
"13","82.027","2.363"
"14","82.027","3.504"
"15","82.152","3.509"
"16","82.277","2.739"
"17","82.395","5.047"
"18","82.395","4.875"
"19","82.52","4.299"
"20","82.52","2.376"
"21","82.648","4.481"
"22","82.773","3.316"
"23","82.773","3.303"
"24","82.898","3.705"
"25","82.898","3.5"
"26","83.023","2.574"
"27","83.148","2.53"
"28","83.148","5.271"
"29","83.273","4.495"
"30","83.273","1.756"
