"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","705.195","6.084"
"2","704.969","4.816"
"3","704.969","5.066"
"4","704.969","3.938"
"5","704.969","3.682"
"6","704.969","4.149"
"7","704.969","2.327"
"8","704.969","3.15"
"9","704.969","1.943"
"10","704.969","3.933"
"11","704.969","2.722"
"12","704.98","3.736"
"13","704.98","2.137"
"14","704.98","2.521"
"15","704.98","3.547"
"16","704.98","2.908"
"17","704.98","2.365"
"18","704.98","2.334"
"19","704.98","2.519"
"20","704.98","2.366"
"21","704.98","2.707"
"22","704.98","3.561"
"23","704.98","2.516"
"24","688.984","3.939"
"25","689.004","3.677"
"26","689.012","3.151"
"27","689.016","2.325"
"28","689.02","4.725"
"29","689.027","1.554"
"30","689.055","0"
