"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","700.379","1.935"
"2","700.379","3.941"
"3","700.379","0.581"
"4","700.379","3.733"
"5","700.379","0.583"
"6","700.363","2.369"
"7","700.363","1.745"
"8","700.363","1.552"
"9","700.363","3.747"
"10","700.363","0.388"
"11","700.363","3.152"
"12","700.363","1.359"
"13","700.363","1.773"
"14","700.363","2.325"
"15","700.363","1.576"
"16","700.363","2.91"
"17","700.363","1.554"
"18","700.363","2.367"
"19","700.363","0.194"
"20","700.363","2.562"
"21","700.363","1.94"
"22","700.363","2.56"
"23","700.363","2.715"
"24","700.363","1.182"
"25","700.363","2.328"
"26","700.363","0.97"
"27","700.363","2.367"
"28","700.363","0.582"
"29","700.363","2.944"
"30","700.363","1.562"
