"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","95.676","0.566"
"2","95.676","1.411"
"3","95.676","2.367"
"4","95.676","1.756"
"5","95.676","0.584"
"6","95.676","1.555"
"7","95.676","1.973"
"8","95.676","0"
"9","95.676","1.95"
"10","95.676","0.779"
"11","95.676","2.332"
"12","95.676","1.186"
"13","95.676","0.585"
"14","95.676","0.78"
"15","95.676","0.778"
"16","95.676","0.777"
"17","95.676","1.584"
"18","95.676","0.584"
"19","95.676","0.585"
"20","95.676","1.943"
"21","95.676","2.759"
"22","95.676","0.975"
"23","95.676","0.974"
"24","95.676","2.141"
"25","95.676","1.949"
"26","95.676","1.945"
"27","95.676","1.184"
"28","95.676","0.779"
"29","95.676","2.148"
"30","95.676","0.973"
