"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","84.188","2.299"
"2","84.188","4.605"
"3","84.188","2.134"
"4","84.438","4.12"
"5","84.438","3.302"
"6","85.812","4.722"
"7","85.812","2.328"
"8","85.812","3.689"
"9","85.812","3.945"
"10","85.812","1.749"
"11","85.812","3.925"
"12","86.066","2.139"
"13","86.059","2.559"
"14","86.059","1.554"
"15","87.062","5.695"
"16","87.062","4.078"
"17","87.062","4.058"
"18","87.312","3.36"
"19","87.312","3.677"
"20","88.32","4.357"
"21","88.32","0.969"
"22","88.324","3.348"
"23","88.324","2.323"
"24","88.594","4.32"
"25","89.594","3.695"
"26","89.594","2.757"
"27","89.594","1.159"
"28","89.594","4.516"
"29","89.844","1.939"
"30","89.844","1.586"
