"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","77.879","1.928"
"2","79.004","7.295"
"3","80.504","3.101"
"4","81.504","4.139"
"5","81.629","4.651"
"6","81.629","4.338"
"7","81.754","5.439"
"8","81.879","3.105"
"9","81.879","4.34"
"10","82.004","3.285"
"11","82.004","4.746"
"12","82.129","4.839"
"13","82.129","4.916"
"14","82.246","3.504"
"15","82.371","2.953"
"16","82.496","3.687"
"17","82.496","3.31"
"18","82.625","5.492"
"19","82.625","4.278"
"20","82.75","1.968"
"21","82.75","5.237"
"22","82.875","2.371"
"23","83","5.618"
"24","83","2.753"
"25","83.125","6.199"
"26","83.25","2.912"
"27","83.25","5.333"
"28","83.375","5.037"
"29","83.375","3.335"
"30","83.5","1.953"
