"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","81.254","2.153"
"2","81.254","5.447"
"3","81.379","2.958"
"4","81.379","4.28"
"5","81.504","5.91"
"6","81.629","4.056"
"7","81.754","5.907"
"8","81.699","4.08"
"9","81.824","4.094"
"10","81.824","2.954"
"11","81.953","3.676"
"12","82.094","4.538"
"13","82.094","2.328"
"14","82.219","4.652"
"15","82.348","3.359"
"16","82.348","4.081"
"17","82.473","4.472"
"18","82.473","4.741"
"19","82.598","3.298"
"20","82.598","5.108"
"21","82.723","1.751"
"22","82.848","4.662"
"23","82.848","1.377"
"24","82.973","5.423"
"25","83.098","2.963"
"26","83.098","3.688"
"27","83.227","5.113"
"28","83.227","3.1"
"29","83.352","4.72"
"30","83.477","2.922"
