"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","713.93","3.023"
"2","713.941","1.814"
"3","713.941","2.918"
"4","713.941","2.18"
"5","713.941","0.78"
"6","713.941","2.344"
"7","713.926","1.946"
"8","713.926","0.39"
"9","713.926","2.915"
"10","713.926","2.73"
"11","713.926","2.149"
"12","713.926","1.756"
"13","713.926","1.383"
"14","713.926","1.56"
"15","713.926","1.949"
"16","713.926","2.341"
"17","713.926","3.505"
"18","713.926","1.952"
"19","713.926","2.764"
"20","713.926","1.363"
"21","713.926","2.736"
"22","713.926","3.319"
"23","713.926","2.148"
"24","713.926","2.728"
"25","713.926","2.34"
"26","713.926","2.15"
"27","713.926","1.757"
"28","713.926","3.107"
"29","713.926","1.783"
"30","713.926","1.169"
