"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","89.301","2.871"
"2","90.051","3.55"
"3","91.176","2.57"
"4","92.301","4.262"
"5","93.426","3.542"
"6","93.801","4.665"
"7","93.801","3.301"
"8","93.926","2.566"
"9","94.051","2.911"
"10","94.051","2.356"
"11","94.051","2.527"
"12","94.176","6.113"
"13","94.301","2.511"
"14","94.301","7.216"
"15","94.426","1.57"
"16","94.551","4.877"
"17","94.551","3.935"
"18","94.676","4.839"
"19","94.676","3.882"
"20","94.801","2.763"
"21","94.926","5.237"
"22","95.051","3.148"
"23","95.051","6.22"
"24","95.176","1.775"
"25","95.301","5.029"
"26","95.391","4.337"
"27","95.391","3.293"
"28","95.516","3.554"
"29","95.52","2.328"
"30","95.645","3.111"
