"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","704.691","2.511"
"2","704.691","0.985"
"3","704.691","3.306"
"4","704.691","2.566"
"5","704.691","2.517"
"6","704.691","1.376"
"7","704.691","2.527"
"8","704.691","2.562"
"9","704.691","1.166"
"10","704.691","2.909"
"11","704.691","1.38"
"12","704.691","3.296"
"13","704.691","1.774"
"14","704.691","2.136"
"15","704.691","2.136"
"16","704.691","1.778"
"17","704.691","1.939"
"18","704.691","2.171"
"19","704.691","1.746"
"20","704.691","1.746"
"21","704.691","0.788"
"22","704.691","5.234"
"23","704.691","0.788"
"24","704.691","2.716"
"25","704.691","2.358"
"26","704.691","3.884"
"27","704.691","3.744"
"28","704.691","1.358"
"29","704.691","3.345"
"30","704.691","0.778"
