❯  Starting publish benchmark, connections: 1, req interval: 10ms, message interval: 20ms
...  [0/1] - Connecting...
√  [1/1] - Connected
√  Created 1 connections in 0.018s
Published total: 33, message rate: 33/s
Published total: 65, message rate: 32/s
Published total: 97, message rate: 32/s
Published total: 130, message rate: 33/s
Published total: 162, message rate: 32/s
Published total: 195, message rate: 33/s
Published total: 227, message rate: 32/s
Published total: 260, message rate: 33/s
Published total: 293, message rate: 33/s
Published total: 325, message rate: 32/s
Published total: 358, message rate: 33/s
Published total: 391, message rate: 33/s
Published total: 423, message rate: 32/s
Published total: 456, message rate: 33/s
Published total: 488, message rate: 32/s
Published total: 521, message rate: 33/s
Published total: 554, message rate: 33/s
Published total: 587, message rate: 33/s
Published total: 619, message rate: 32/s
Published total: 652, message rate: 33/s
Published total: 685, message rate: 33/s
Published total: 718, message rate: 33/s
Published total: 750, message rate: 32/s
Published total: 783, message rate: 33/s
Published total: 815, message rate: 32/s
Published total: 848, message rate: 33/s
Published total: 881, message rate: 33/s
Published total: 914, message rate: 33/s
Published total: 946, message rate: 32/s
Published total: 979, message rate: 33/s
Published total: 1011, message rate: 32/s
Published total: 1044, message rate: 33/s
Published total: 1076, message rate: 32/s
Published total: 1109, message rate: 33/s
Published total: 1142, message rate: 33/s
Published total: 1174, message rate: 32/s
Published total: 1207, message rate: 33/s
Published total: 1240, message rate: 33/s
Published total: 1272, message rate: 32/s
Published total: 1305, message rate: 33/s
Published total: 1337, message rate: 32/s
Published total: 1370, message rate: 33/s
Published total: 1402, message rate: 32/s
Published total: 1435, message rate: 33/s
Published total: 1467, message rate: 32/s
Published total: 1500, message rate: 33/s
Published total: 1532, message rate: 32/s
Published total: 1565, message rate: 33/s
Published total: 1597, message rate: 32/s
Published total: 1630, message rate: 33/s
Published total: 1662, message rate: 32/s
Published total: 1695, message rate: 33/s
Published total: 1728, message rate: 33/s
Published total: 1760, message rate: 32/s
Published total: 1793, message rate: 33/s
Published total: 1826, message rate: 33/s
Published total: 1858, message rate: 32/s
Published total: 1891, message rate: 33/s
Published total: 1924, message rate: 33/s
Published total: 1956, message rate: 32/s
Published total: 1989, message rate: 33/s
Published total: 2022, message rate: 33/s
Published total: 2055, message rate: 33/s
Published total: 2088, message rate: 33/s
Published total: 2120, message rate: 32/s
Published total: 2153, message rate: 33/s
Published total: 2185, message rate: 32/s
Published total: 2218, message rate: 33/s
Published total: 2250, message rate: 32/s
Published total: 2283, message rate: 33/s
Published total: 2315, message rate: 32/s
Published total: 2348, message rate: 33/s
Published total: 2380, message rate: 32/s
Published total: 2413, message rate: 33/s
Published total: 2445, message rate: 32/s
Published total: 2478, message rate: 33/s
Published total: 2510, message rate: 32/s
Published total: 2543, message rate: 33/s
Published total: 2576, message rate: 33/s
Published total: 2608, message rate: 32/s
Published total: 2641, message rate: 33/s
Published total: 2673, message rate: 32/s
Published total: 2706, message rate: 33/s
Published total: 2738, message rate: 32/s
Published total: 2771, message rate: 33/s
Published total: 2804, message rate: 33/s
Published total: 2836, message rate: 32/s
Published total: 2869, message rate: 33/s
Published total: 2901, message rate: 32/s
Published total: 2934, message rate: 33/s
Published total: 2966, message rate: 32/s
Published total: 2999, message rate: 33/s
Published total: 3032, message rate: 33/s
Published total: 3064, message rate: 32/s
Published total: 3097, message rate: 33/s
Published total: 3130, message rate: 33/s
Published total: 3162, message rate: 32/s
Published total: 3195, message rate: 33/s
Published total: 3227, message rate: 32/s
Published total: 3260, message rate: 33/s
Published total: 3293, message rate: 33/s
Published total: 3325, message rate: 32/s
Published total: 3358, message rate: 33/s
Published total: 3390, message rate: 32/s
Published total: 3423, message rate: 33/s
Published total: 3455, message rate: 32/s
Published total: 3488, message rate: 33/s
Published total: 3521, message rate: 33/s
Published total: 3553, message rate: 32/s
Published total: 3586, message rate: 33/s
Published total: 3619, message rate: 33/s
Published total: 3651, message rate: 32/s
Published total: 3684, message rate: 33/s
Published total: 3716, message rate: 32/s
Published total: 3749, message rate: 33/s
Published total: 3781, message rate: 32/s
Published total: 3814, message rate: 33/s
Published total: 3846, message rate: 32/s
Published total: 3879, message rate: 33/s
Published total: 3911, message rate: 32/s
Published total: 3944, message rate: 33/s
Published total: 3976, message rate: 32/s
Published total: 4009, message rate: 33/s
Published total: 4041, message rate: 32/s
Published total: 4074, message rate: 33/s
Published total: 4107, message rate: 33/s
Published total: 4140, message rate: 33/s
Published total: 4173, message rate: 33/s
Published total: 4205, message rate: 32/s
Published total: 4238, message rate: 33/s
Published total: 4270, message rate: 32/s
Published total: 4303, message rate: 33/s
Published total: 4335, message rate: 32/s
Published total: 4368, message rate: 33/s
Published total: 4400, message rate: 32/s
Published total: 4433, message rate: 33/s
Published total: 4465, message rate: 32/s
Published total: 4498, message rate: 33/s
Published total: 4530, message rate: 32/s
Published total: 4563, message rate: 33/s
Published total: 4595, message rate: 32/s
Published total: 4628, message rate: 33/s
Published total: 4660, message rate: 32/s
Published total: 4693, message rate: 33/s
Published total: 4725, message rate: 32/s
Published total: 4758, message rate: 33/s
Published total: 4791, message rate: 33/s
Published total: 4823, message rate: 32/s
Published total: 4856, message rate: 33/s
Published total: 4888, message rate: 32/s
Published total: 4921, message rate: 33/s
Published total: 4953, message rate: 32/s
Published total: 4986, message rate: 33/s
Published total: 5000, message rate: 14/s
