"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","85.902","1.75"
"2","86.117","12.064"
"3","86.117","12.321"
"4","86.176","12.502"
"5","86.188","12.293"
"6","86.188","11.704"
"7","86.188","12.275"
"8","86.188","12.275"
"9","86.188","12.255"
"10","86.188","11.937"
"11","86.188","12.639"
"12","86.188","12.466"
"13","86.188","12.496"
"14","86.188","12.3"
"15","86.246","12.272"
"16","86.246","12.669"
"17","86.246","12.288"
"18","86.246","12.62"
"19","86.246","12.651"
"20","86.246","12.276"
"21","86.246","11.722"
"22","86.246","12.491"
"23","86.266","12.65"
"24","86.266","12.667"
"25","86.266","12.467"
"26","86.266","12.297"
"27","86.266","12.475"
"28","86.266","12.454"
"29","86.266","12.692"
"30","86.266","12.503"
"31","86.266","12.491"
"32","86.266","12.471"
"33","86.266","12.842"
"34","86.266","12.491"
"35","86.266","12.451"
"36","86.266","12.504"
"37","86.266","12.302"
"38","86.266","12.314"
"39","86.266","12.476"
"40","86.309","12.296"
"41","86.316","12.123"
"42","86.316","12.668"
"43","86.316","12.717"
"44","86.316","12.669"
"45","86.316","12.483"
"46","86.316","12.481"
"47","86.316","12.292"
"48","86.316","12.513"
"49","86.316","12.679"
"50","86.32","12.637"
"51","86.32","12.103"
"52","86.32","12.47"
"53","86.32","12.129"
"54","86.32","12.466"
"55","86.32","12.48"
"56","86.32","12.47"
"57","86.32","12.483"
"58","86.32","12.481"
"59","86.32","12.484"
"60","86.32","12.465"
"61","86.32","12.28"
"62","86.32","12.466"
"63","86.32","12.478"
"64","86.32","12.318"
"65","86.32","12.105"
"66","86.32","12.48"
"67","86.32","12.471"
"68","86.32","12.453"
"69","86.32","12.328"
"70","86.32","12.461"
"71","86.32","12.473"
"72","86.32","12.49"
"73","86.32","12.288"
"74","86.32","12.287"
"75","86.32","12.49"
"76","86.32","12.281"
"77","86.32","12.481"
"78","86.32","12.279"
"79","86.32","12.478"
"80","86.32","12.656"
"81","86.32","12.254"
"82","86.32","12.67"
"83","86.32","12.676"
"84","86.32","12.486"
"85","86.32","12.297"
"86","86.32","12.679"
"87","86.32","12.467"
"88","86.32","12.317"
"89","86.32","11.87"
"90","86.32","12.494"
"91","86.32","12.081"
"92","86.32","12.461"
"93","86.32","12.5"
"94","86.32","12.689"
"95","86.32","12.29"
"96","86.32","12.32"
"97","86.32","12.078"
"98","86.32","12.492"
"99","86.32","12.269"
"100","86.32","12.677"
"101","86.32","12.27"
"102","86.32","12.658"
"103","86.32","12.697"
"104","86.32","12.68"
"105","86.32","12.484"
"106","86.32","12.46"
"107","86.32","11.883"
"108","86.32","12.522"
"109","86.32","12.326"
"110","86.289","12.654"
"111","86.289","12.514"
"112","86.289","12.5"
"113","86.289","12.102"
"114","86.289","12.49"
"115","86.289","12.492"
"116","86.289","12.695"
"117","86.289","12.885"
"118","86.289","12.295"
"119","86.289","12.283"
"120","86.289","12.488"
"121","86.289","12.689"
"122","86.289","12.679"
"123","86.289","12.108"
"124","86.289","12.295"
"125","86.289","12.28"
"126","86.289","12.476"
"127","86.289","12.286"
"128","86.289","12.476"
"129","86.289","12.485"
"130","86.289","12.876"
"131","86.289","12.452"
"132","86.289","12.276"
"133","86.289","12.274"
"134","87.277","12.46"
