"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","85.457","0.194"
"2","85.457","10.995"
"3","85.457","12.484"
"4","85.457","12.508"
"5","85.457","12.31"
"6","85.457","11.683"
"7","85.457","12.292"
"8","85.457","12.268"
"9","85.457","12.291"
"10","85.457","11.645"
"11","85.457","11.709"
"12","85.457","12.129"
"13","85.457","12.077"
"14","85.457","11.495"
"15","85.457","12.1"
"16","85.457","11.704"
"17","85.457","11.949"
"18","85.457","12.315"
"19","85.457","11.671"
"20","85.457","11.907"
"21","85.457","11.913"
"22","85.457","12.285"
"23","85.457","11.873"
"24","85.457","11.889"
"25","85.457","11.097"
"26","85.457","12.507"
"27","85.457","11.894"
"28","85.457","12.264"
"29","85.457","11.471"
"30","85.457","11.897"
"31","85.457","12.093"
"32","85.457","11.893"
"33","85.457","12.098"
"34","85.457","12.475"
"35","85.457","11.911"
"36","85.457","11.924"
"37","85.457","11.709"
"38","85.457","12.094"
"39","85.457","12.075"
"40","85.457","11.905"
"41","85.457","11.71"
"42","85.457","11.919"
"43","85.457","12.67"
"44","85.457","12.261"
"45","85.457","11.714"
"46","85.457","12.071"
"47","85.457","12.085"
"48","85.457","12.105"
"49","85.457","11.912"
"50","85.457","11.716"
"51","85.457","12.673"
"52","85.457","11.888"
"53","85.457","12.115"
"54","85.457","11.684"
"55","85.457","11.921"
"56","85.457","11.864"
"57","85.457","11.718"
"58","85.457","12.253"
"59","85.457","12.295"
"60","85.457","11.884"
"61","85.457","11.726"
"62","85.457","11.889"
"63","85.457","11.739"
"64","85.457","11.287"
"65","85.457","12.127"
"66","85.457","11.677"
"67","85.457","12.277"
"68","85.457","11.894"
"69","85.457","11.133"
"70","85.457","11.905"
"71","85.457","12.063"
"72","85.457","11.882"
"73","85.457","11.911"
"74","85.457","11.692"
"75","85.457","11.725"
"76","85.457","11.508"
"77","85.457","11.922"
"78","85.457","11.722"
"79","85.457","12.275"
"80","85.457","11.874"
"81","85.457","11.691"
"82","85.457","11.851"
"83","85.457","11.892"
"84","85.457","11.724"
"85","85.457","11.499"
"86","85.457","11.72"
"87","85.457","11.73"
"88","85.457","12.092"
"89","85.457","11.525"
"90","85.457","12.249"
"91","85.457","11.945"
"92","85.457","11.883"
"93","85.457","11.886"
"94","85.457","11.656"
"95","85.457","12.076"
"96","85.457","11.719"
"97","85.457","12.085"
"98","85.457","11.713"
"99","85.457","12.097"
"100","85.457","11.694"
"101","85.457","11.718"
"102","85.457","11.879"
"103","85.457","12.078"
"104","85.457","11.305"
"105","85.457","11.907"
"106","85.457","12.112"
"107","85.457","11.511"
"108","85.457","11.873"
"109","85.457","11.915"
"110","85.457","11.909"
"111","85.457","11.488"
"112","85.457","11.904"
"113","85.457","11.898"
"114","85.457","11.911"
"115","85.457","11.469"
"116","85.457","12.099"
"117","85.457","11.483"
"118","85.457","12.092"
"119","85.457","12.101"
"120","85.457","11.534"
"121","85.457","12.297"
"122","85.457","11.875"
"123","85.457","11.925"
"124","85.457","11.694"
"125","85.457","11.887"
"126","85.457","11.863"
"127","85.457","11.905"
"128","85.457","11.891"
"129","85.457","12.076"
"130","85.457","11.337"
"131","85.457","11.898"
"132","85.457","12.639"
"133","85.457","11.486"
"134","85.457","12.081"
"135","85.457","11.308"
"136","85.457","11.867"
"137","85.457","11.886"
"138","85.457","12.102"
"139","85.457","11.904"
"140","85.457","11.262"
"141","85.457","11.885"
"142","85.457","11.888"
"143","85.457","12.093"
"144","85.457","11.296"
"145","85.457","12.308"
"146","85.457","11.71"
"147","85.457","12.091"
"148","85.457","12.096"
"149","85.457","12.292"
"150","85.457","11.688"
"151","85.457","11.859"
"152","85.457","11.522"
"153","85.457","12.5"
"154","85.457","11.901"
"155","85.457","11.69"
"156","85.457","2.33"
"157","85.457","0.392"
