❯  Starting publish benchmark, connections: 1, req interval: 10ms, message interval: 20ms
...  [0/1] - Connecting...
√  [1/1] - Connected
√  Created 1 connections in 0.017s
Published total: 32, message rate: 32/s
Published total: 65, message rate: 33/s
Published total: 97, message rate: 32/s
Published total: 130, message rate: 33/s
Published total: 162, message rate: 32/s
Published total: 195, message rate: 33/s
Published total: 227, message rate: 32/s
Published total: 260, message rate: 33/s
Published total: 292, message rate: 32/s
Published total: 325, message rate: 33/s
Published total: 357, message rate: 32/s
Published total: 390, message rate: 33/s
Published total: 422, message rate: 32/s
Published total: 455, message rate: 33/s
Published total: 487, message rate: 32/s
Published total: 520, message rate: 33/s
Published total: 553, message rate: 33/s
Published total: 585, message rate: 32/s
Published total: 618, message rate: 33/s
Published total: 650, message rate: 32/s
Published total: 683, message rate: 33/s
Published total: 715, message rate: 32/s
Published total: 748, message rate: 33/s
Published total: 780, message rate: 32/s
Published total: 813, message rate: 33/s
Published total: 845, message rate: 32/s
Published total: 878, message rate: 33/s
Published total: 910, message rate: 32/s
Published total: 943, message rate: 33/s
Published total: 975, message rate: 32/s
Published total: 1008, message rate: 33/s
Published total: 1040, message rate: 32/s
Published total: 1073, message rate: 33/s
Published total: 1105, message rate: 32/s
Published total: 1138, message rate: 33/s
Published total: 1170, message rate: 32/s
Published total: 1203, message rate: 33/s
Published total: 1236, message rate: 33/s
Published total: 1268, message rate: 32/s
Published total: 1301, message rate: 33/s
Published total: 1333, message rate: 32/s
Published total: 1366, message rate: 33/s
Published total: 1398, message rate: 32/s
Published total: 1431, message rate: 33/s
Published total: 1463, message rate: 32/s
Published total: 1496, message rate: 33/s
Published total: 1528, message rate: 32/s
Published total: 1561, message rate: 33/s
Published total: 1593, message rate: 32/s
Published total: 1626, message rate: 33/s
Published total: 1659, message rate: 33/s
Published total: 1691, message rate: 32/s
Published total: 1724, message rate: 33/s
Published total: 1756, message rate: 32/s
Published total: 1789, message rate: 33/s
Published total: 1821, message rate: 32/s
Published total: 1854, message rate: 33/s
Published total: 1886, message rate: 32/s
Published total: 1919, message rate: 33/s
Published total: 1951, message rate: 32/s
Published total: 1984, message rate: 33/s
Published total: 2016, message rate: 32/s
Published total: 2049, message rate: 33/s
Published total: 2081, message rate: 32/s
Published total: 2114, message rate: 33/s
Published total: 2146, message rate: 32/s
Published total: 2179, message rate: 33/s
Published total: 2211, message rate: 32/s
Published total: 2244, message rate: 33/s
Published total: 2276, message rate: 32/s
Published total: 2309, message rate: 33/s
Published total: 2341, message rate: 32/s
Published total: 2374, message rate: 33/s
Published total: 2406, message rate: 32/s
Published total: 2439, message rate: 33/s
Published total: 2471, message rate: 32/s
Published total: 2504, message rate: 33/s
Published total: 2537, message rate: 33/s
Published total: 2569, message rate: 32/s
Published total: 2602, message rate: 33/s
Published total: 2634, message rate: 32/s
Published total: 2667, message rate: 33/s
Published total: 2699, message rate: 32/s
Published total: 2732, message rate: 33/s
Published total: 2764, message rate: 32/s
Published total: 2797, message rate: 33/s
Published total: 2829, message rate: 32/s
Published total: 2862, message rate: 33/s
Published total: 2894, message rate: 32/s
Published total: 2927, message rate: 33/s
Published total: 2959, message rate: 32/s
Published total: 2992, message rate: 33/s
Published total: 3024, message rate: 32/s
Published total: 3057, message rate: 33/s
Published total: 3089, message rate: 32/s
Published total: 3122, message rate: 33/s
Published total: 3154, message rate: 32/s
Published total: 3187, message rate: 33/s
Published total: 3219, message rate: 32/s
Published total: 3252, message rate: 33/s
Published total: 3284, message rate: 32/s
Published total: 3317, message rate: 33/s
Published total: 3349, message rate: 32/s
Published total: 3382, message rate: 33/s
Published total: 3414, message rate: 32/s
Published total: 3447, message rate: 33/s
Published total: 3479, message rate: 32/s
Published total: 3512, message rate: 33/s
Published total: 3544, message rate: 32/s
Published total: 3577, message rate: 33/s
Published total: 3609, message rate: 32/s
Published total: 3642, message rate: 33/s
Published total: 3674, message rate: 32/s
Published total: 3707, message rate: 33/s
Published total: 3739, message rate: 32/s
Published total: 3772, message rate: 33/s
Published total: 3804, message rate: 32/s
Published total: 3837, message rate: 33/s
Published total: 3869, message rate: 32/s
Published total: 3902, message rate: 33/s
Published total: 3934, message rate: 32/s
Published total: 3967, message rate: 33/s
Published total: 3999, message rate: 32/s
Published total: 4032, message rate: 33/s
Published total: 4064, message rate: 32/s
Published total: 4097, message rate: 33/s
Published total: 4129, message rate: 32/s
Published total: 4162, message rate: 33/s
Published total: 4195, message rate: 33/s
Published total: 4227, message rate: 32/s
Published total: 4260, message rate: 33/s
Published total: 4292, message rate: 32/s
Published total: 4325, message rate: 33/s
Published total: 4357, message rate: 32/s
Published total: 4390, message rate: 33/s
Published total: 4422, message rate: 32/s
Published total: 4455, message rate: 33/s
Published total: 4487, message rate: 32/s
Published total: 4519, message rate: 32/s
Published total: 4552, message rate: 33/s
Published total: 4584, message rate: 32/s
Published total: 4616, message rate: 32/s
Published total: 4649, message rate: 33/s
Published total: 4681, message rate: 32/s
Published total: 4714, message rate: 33/s
Published total: 4746, message rate: 32/s
Published total: 4779, message rate: 33/s
Published total: 4812, message rate: 33/s
Published total: 4844, message rate: 32/s
Published total: 4877, message rate: 33/s
Published total: 4910, message rate: 33/s
Published total: 4942, message rate: 32/s
Published total: 4975, message rate: 33/s
Published total: 5000, message rate: 25/s
