"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","81.281","0"
"2","85.266","10.889"
"3","86.266","11.675"
"4","86.266","12.027"
"5","86.266","11.635"
"6","86.27","11.263"
"7","86.273","11.831"
"8","86.293","11.667"
"9","86.293","11.305"
"10","86.293","11.277"
"11","86.293","11.85"
"12","86.293","11.625"
"13","86.293","11.462"
"14","86.293","12.075"
"15","86.293","11.645"
"16","86.293","11.263"
"17","86.285","11.436"
"18","86.285","11.821"
"19","86.285","12.43"
"20","86.285","11.046"
"21","86.285","11.869"
"22","86.285","12.061"
"23","86.285","11.233"
"24","86.285","11.49"
"25","86.285","11.844"
"26","86.285","11.689"
"27","86.285","11.641"
"28","86.285","12.057"
"29","86.285","11.662"
"30","86.285","11.428"
"31","86.285","11.665"
"32","86.285","11.662"
"33","86.285","11.045"
"34","86.285","11.654"
"35","86.285","11.86"
"36","86.285","11.239"
"37","86.285","11.635"
"38","86.285","11.483"
"39","86.285","11.434"
"40","86.285","12.032"
"41","86.285","11.82"
"42","86.285","11.663"
"43","86.285","11.069"
"44","86.285","11.633"
"45","86.285","12.404"
"46","86.285","12.022"
"47","86.227","12.234"
"48","86.227","12.228"
"49","86.227","11.829"
"50","86.23","11.823"
"51","86.23","11.255"
"52","86.23","11.65"
"53","86.23","11.672"
"54","86.23","12.041"
"55","86.23","11.08"
"56","86.23","11.482"
"57","86.23","11.619"
"58","86.23","11.652"
"59","86.23","11.847"
"60","86.23","11.243"
"61","86.23","12.032"
"62","86.23","11.844"
"63","86.23","11.448"
"64","86.23","11.462"
"65","86.23","11.631"
"66","86.23","10.869"
"67","86.23","11.631"
"68","86.23","11.624"
"69","86.23","11.476"
"70","86.23","12.015"
"71","86.23","11.649"
"72","86.23","11.663"
"73","86.23","11.847"
"74","86.23","11.842"
"75","86.23","11.651"
"76","86.23","11.657"
"77","86.23","12.056"
"78","86.23","12.211"
"79","86.23","11.825"
"80","86.23","11.825"
"81","86.23","11.429"
"82","86.23","11.49"
"83","86.23","12.046"
"84","86.23","11.44"
"85","86.23","11.641"
"86","86.23","11.621"
"87","86.23","11.439"
"88","86.23","11.468"
"89","86.23","11.665"
"90","86.23","12.04"
"91","86.23","11.46"
"92","86.23","11.45"
"93","86.23","12.607"
"94","86.23","12.232"
"95","86.25","12.257"
"96","86.25","11.823"
"97","86.25","11.814"
"98","86.25","12.246"
"99","86.25","12.028"
"100","86.25","12.005"
"101","86.25","12.238"
"102","86.25","12.022"
"103","86.254","12.06"
"104","86.254","12.231"
"105","86.254","11.822"
"106","86.254","12.249"
"107","86.254","11.642"
"108","86.254","12.197"
"109","86.254","11.272"
"110","86.254","11.434"
"111","86.254","12.414"
"112","86.254","12.223"
"113","86.254","12.027"
"114","86.254","11.66"
"115","86.254","12.037"
"116","86.254","12.039"
"117","86.254","11.665"
"118","86.254","11.24"
"119","86.254","11.274"
"120","86.254","10.876"
"121","86.246","11.821"
"122","86.246","11.853"
"123","86.246","11.04"
"124","86.246","11.275"
"125","86.246","11.449"
"126","86.246","11.843"
"127","86.246","11.456"
"128","86.246","11.49"
"129","86.246","11.446"
"130","86.246","11.843"
"131","86.246","11.473"
"132","86.246","10.837"
"133","86.25","12.048"
"134","86.25","11.286"
"135","86.25","11.632"
"136","86.25","11.441"
"137","86.25","11.091"
"138","86.25","11.645"
"139","86.25","11.452"
"140","86.25","11.848"
"141","86.25","11.633"
"142","86.25","12.43"
"143","86.25","11.462"
"144","86.281","11.635"
"145","86.281","11.26"
"146","86.281","11.644"
"147","86.281","12.591"
"148","86.281","12.417"
"149","86.281","12.599"
"150","86.359","12.225"
"151","86.359","12.401"
"152","86.359","12.411"
"153","86.359","12.223"
"154","86.359","12.615"
"155","86.359","12.414"
"156","86.359","9.918"
"157","86.359","0.39"
