"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","580.934","0.388"
"2","580.938","0"
"3","580.945","0.394"
"4","580.961","0"
"5","580.969","0.591"
"6","580.969","0.388"
"7","580.973","0"
"8","580.984","0.395"
"9","580.992","0.389"
"10","581","0.194"
"11","581","0.39"
"12","581.004","0.394"
"13","581.008","0.389"
"14","581.016","0.787"
"15","581.023","0"
"16","581.031","0.395"
"17","581.039","0.776"
"18","581.047","0.194"
"19","581.047","0.789"
"20","581.051","0.389"
"21","581.059","0"
"22","581.066","0"
"23","581.07","0.583"
"24","581.09","0.194"
"25","581.094","0.389"
"26","581.098","0.591"
"27","581.102","0.195"
"28","581.105","0.583"
"29","581.109","0.789"
"30","581.121","0"
"31","581.129","0.389"
"32","581.141","0.197"
"33","581.148","0.194"
"34","581.156","0.583"
"35","581.168","0.197"
"36","444.77","0"
"37","444.793","0.789"
"38","444.824","0.194"
"39","444.848","0"
"40","444.848","0.388"
"41","444.855","0"
"42","444.875","0"
"43","444.891","0.592"
"44","444.91","0.194"
"45","444.922","0.194"
"46","444.945","0.79"
"47","444.957","0.961"
"48","444.984","1.169"
"49","444.996","0.585"
"50","445.008","0.99"
"51","445.023","0.586"
"52","445.051","0.782"
"53","445.066","0.585"
"54","445.09","0.39"
"55","445.113","0.587"
"56","445.117","0.39"
"57","445.152","0.583"
"58","445.16","0.975"
"59","445.207","0.976"
"60","445.223","0.782"
"61","445.234","1.19"
"62","445.266","0.576"
"63","445.297","0.195"
"64","445.32","0.584"
"65","445.34","0.781"
"66","445.367","0.396"
"67","445.391","0.195"
"68","445.43","0.781"
"69","445.445","0.39"
"70","445.465","0.593"
"71","445.496","0.584"
"72","445.512","0.192"
"73","445.539","0.198"
"74","445.562","0.778"
"75","445.586","0.392"
"76","445.609","1.17"
"77","445.648","1.172"
"78","445.688","0.779"
"79","445.703","0.396"
"80","445.723","0.192"
"81","445.734","0.594"
"82","445.742","0.39"
"83","445.758","0.39"
"84","445.777","0.778"
"85","445.805","0.39"
"86","445.828","0.791"
"87","445.844","0.972"
"88","445.863","0.194"
"89","445.887","0.396"
"90","445.887","0"
"91","445.906","0.957"
"92","445.93","0.396"
"93","445.957","0.195"
"94","445.984","0.583"
"95","446","0.396"
"96","446.023","0.384"
"97","446.039","0.593"
"98","446.059","0"
"99","446.094","0.195"
"100","446.109","0.39"
"101","446.172","0.592"
"102","446.203","0.584"
"103","446.215","0.78"
"104","446.234","0"
"105","446.262","0.197"
"106","446.273","0"
"107","446.293","0.585"
"108","446.305","0"
"109","446.336","0"
"110","446.352","0.789"
"111","446.375","0.389"
"112","446.398","0.395"
"113","446.422","0.972"
"114","446.453","0"
"115","446.469","0.583"
"116","446.492","0.591"
"117","446.516","0.584"
"118","446.539","0"
"119","446.574","0.79"
"120","446.598","0.778"
"121","446.621","0.194"
"122","446.637","0.593"
"123","446.66","0.776"
"124","446.684","0.194"
"125","446.703","0.791"
"126","446.73","0.383"
"127","446.746","0.99"
"128","446.777","0.195"
"129","446.793","0.39"
"130","446.812","1.171"
"131","446.832","0.78"
"132","446.867","0.587"
"133","446.887","0.781"
"134","446.91","0.391"
"135","446.934","0.988"
"136","446.949","0.195"
"137","446.988","0.39"
"138","447.012","0.192"
"139","447.031","0.779"
"140","447.066","0.783"
"141","447.086","1.17"
"142","447.109","1.188"
"143","447.133","0.781"
"144","447.148","0.391"
"145","447.168","0.975"
"146","447.191","0.782"
"147","447.203","0.39"
"148","447.289","0.78"
"149","447.309","0.78"
"150","447.332","0.396"
"151","447.34","0.577"
"152","447.367","0.975"
"153","447.398","0.978"
"154","447.434","0.973"
"155","447.453","0.779"
"156","447.484","0.391"
"157","447.5","0.198"
