"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","86.359","0.772"
"2","86.516","12.195"
"3","86.516","12.416"
"4","87.516","12.018"
"5","87.527","12.635"
"6","87.527","12.221"
"7","87.527","12.608"
"8","87.527","12.226"
"9","87.535","11.829"
"10","87.535","12.415"
"11","87.535","12.423"
"12","87.535","11.823"
"13","87.535","12.421"
"14","87.535","12.202"
"15","87.535","12.46"
"16","87.535","12.434"
"17","87.535","12.63"
"18","87.535","11.823"
"19","87.535","12.202"
"20","87.535","12.43"
"21","87.555","12.244"
"22","87.555","12.606"
"23","87.691","12.394"
"24","87.77","12.639"
"25","87.77","12.406"
"26","87.77","12.231"
"27","87.77","12.413"
"28","87.77","11.828"
"29","87.77","12.608"
"30","87.77","12.011"
"31","87.77","12.265"
"32","87.77","12.632"
"33","87.77","11.612"
"34","87.77","12.426"
"35","87.77","12.057"
"36","87.77","12.215"
"37","87.77","12.221"
"38","87.77","12.222"
"39","87.77","12.61"
"40","87.77","12.633"
"41","87.77","12.406"
"42","87.77","12.22"
"43","87.77","12.413"
"44","87.77","12.616"
"45","87.77","12.027"
"46","87.77","12.407"
"47","87.77","12.043"
"48","87.77","12.614"
"49","87.77","12.61"
"50","87.77","11.808"
"51","87.77","12.625"
"52","87.77","12.427"
"53","87.77","11.837"
"54","87.77","12.434"
"55","87.77","12.234"
"56","87.77","12.236"
"57","87.77","12.239"
"58","87.77","12.387"
"59","87.77","12.459"
"60","87.77","12.246"
"61","87.77","12.409"
"62","87.773","12.639"
"63","87.773","12.408"
"64","87.773","12.229"
"65","87.773","12.425"
"66","87.773","11.821"
"67","87.773","12.429"
"68","87.773","12.008"
"69","87.773","12.627"
"70","87.773","12.425"
"71","87.773","12.214"
"72","87.773","12.643"
"73","87.773","12.401"
"74","87.773","12.226"
"75","87.773","12.244"
"76","87.773","12.424"
"77","87.773","12.825"
"78","87.773","12.632"
"79","87.773","12.412"
"80","87.773","12.216"
"81","87.773","12.617"
"82","87.773","12.81"
"83","87.773","12.228"
"84","87.773","12.401"
"85","87.773","12.421"
"86","87.773","12.408"
"87","87.773","12.616"
"88","87.773","12.229"
"89","87.773","12.602"
"90","87.773","12.226"
"91","87.773","12.431"
"92","87.773","12.436"
"93","87.773","12.421"
"94","87.773","12.427"
"95","87.773","12.405"
"96","87.75","12.213"
"97","87.75","12.613"
"98","87.75","12.215"
"99","87.75","12.619"
"100","87.75","12.204"
"101","87.75","12.422"
"102","87.75","12.229"
"103","87.75","12.818"
"104","87.75","12.21"
"105","87.75","12.217"
"106","87.75","12.438"
"107","87.75","12.425"
"108","87.75","12.218"
"109","87.75","12.419"
"110","87.75","12.397"
"111","87.75","12.431"
"112","87.75","12.047"
"113","87.75","12.425"
"114","87.75","12.245"
"115","87.75","11.816"
"116","87.75","12.595"
"117","87.75","12.416"
"118","87.75","12.412"
"119","87.75","11.834"
"120","87.75","12.225"
"121","87.75","12.601"
"122","87.75","12.421"
"123","87.75","12.456"
"124","87.75","12.414"
"125","87.75","12.211"
"126","87.75","12.411"
"127","87.75","12.426"
"128","87.953","12.448"
"129","87.957","12.398"
"130","87.957","12.421"
"131","87.957","12.638"
"132","87.957","12.225"
"133","87.957","12.831"
"134","87.957","12.633"
"135","87.957","12.401"
"136","87.957","12.59"
"137","87.957","12.262"
"138","87.957","12.39"
