"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","80.43","0.192"
"2","85.73","9.49"
"3","85.73","12.121"
"4","85.75","12.274"
"5","86.766","12.288"
"6","86.766","12.506"
"7","86.766","12.106"
"8","86.766","12.306"
"9","86.805","12.5"
"10","86.805","11.886"
"11","86.805","12.124"
"12","86.805","12.491"
"13","86.805","12.092"
"14","86.805","12.499"
"15","86.805","12.467"
"16","86.805","11.909"
"17","86.805","12.508"
"18","86.805","12.497"
"19","86.809","12.705"
"20","86.809","12.653"
"21","86.809","12.48"
"22","86.809","12.478"
"23","86.809","12.878"
"24","86.754","12.671"
"25","86.754","12.533"
"26","86.754","12.501"
"27","86.758","12.29"
"28","86.758","12.113"
"29","86.758","12.487"
"30","86.762","12.286"
"31","86.762","12.291"
"32","86.762","12.521"
"33","86.762","12.296"
"34","86.762","12.289"
"35","86.762","12.476"
"36","86.766","12.487"
"37","86.766","12.506"
"38","86.766","12.486"
"39","86.766","12.297"
"40","86.766","12.27"
"41","86.766","12.498"
"42","86.766","12.304"
"43","86.766","12.272"
"44","86.766","12.497"
"45","86.766","12.676"
"46","86.766","12.9"
"47","86.766","12.262"
"48","86.766","12.489"
"49","86.766","12.886"
"50","86.766","12.466"
"51","86.766","12.5"
"52","86.766","12.262"
"53","86.766","12.646"
"54","86.766","12.109"
"55","86.766","12.272"
"56","86.766","12.099"
"57","86.766","12.308"
"58","86.766","12.509"
"59","86.785","12.448"
"60","86.785","12.095"
"61","86.785","12.48"
"62","86.785","12.503"
"63","86.785","12.092"
"64","86.785","12.463"
"65","86.785","12.306"
"66","86.785","12.524"
"67","86.785","12.474"
"68","86.785","12.846"
"69","86.785","12.284"
"70","86.785","12.103"
"71","86.785","12.499"
"72","86.785","12.093"
"73","86.785","12.705"
"74","86.785","12.683"
"75","86.785","12.291"
"76","86.785","12.277"
"77","86.785","12.5"
"78","86.785","12.481"
"79","86.785","12.484"
"80","86.785","11.89"
"81","86.785","12.303"
"82","86.785","12.31"
"83","86.785","12.482"
"84","86.785","12.47"
"85","86.785","12.296"
"86","86.785","12.673"
"87","86.785","12.106"
"88","86.785","12.301"
"89","86.785","12.683"
"90","86.785","12.102"
"91","86.785","12.294"
"92","86.785","12.281"
"93","86.785","12.663"
"94","86.785","12.491"
"95","86.785","12.521"
"96","86.785","12.268"
"97","86.785","12.276"
"98","86.777","12.689"
"99","86.777","12.476"
"100","86.777","12.452"
"101","86.777","12.493"
"102","86.777","12.472"
"103","86.777","12.295"
"104","86.777","12.29"
"105","86.777","12.27"
"106","86.777","12.269"
"107","86.777","12.503"
"108","86.777","12.478"
"109","86.777","12.688"
"110","86.777","12.481"
"111","86.777","12.495"
"112","86.777","12.478"
"113","86.777","12.485"
"114","86.777","12.49"
"115","86.777","12.294"
"116","86.777","12.288"
"117","86.777","12.464"
"118","86.777","12.279"
"119","86.777","12.68"
"120","86.777","12.499"
"121","86.809","12.484"
"122","86.809","11.886"
"123","86.809","12.67"
"124","86.809","12.1"
"125","86.809","12.68"
"126","86.809","12.275"
"127","86.809","12.486"
"128","86.809","12.479"
"129","86.809","12.51"
"130","86.809","12.489"
"131","86.809","12.662"
