"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","703.566","0.779"
"2","703.566","0.78"
"3","703.566","0.391"
"4","703.566","0.974"
"5","703.566","1.168"
"6","703.566","1.167"
"7","703.566","0.585"
"8","703.566","0.594"
"9","703.566","0.782"
"10","703.566","0.39"
"11","703.566","0.585"
"12","703.566","0.39"
"13","703.566","1.365"
"14","703.566","0.976"
"15","703.566","0.972"
"16","703.566","0.391"
"17","703.566","0.585"
"18","703.547","0.586"
"19","703.547","0.39"
"20","703.547","0.78"
"21","703.547","0.792"
"22","703.547","0.391"
"23","703.547","0.195"
"24","703.547","0.78"
"25","703.547","0.584"
"26","703.547","0.585"
"27","703.547","1.753"
"28","703.547","1.172"
"29","703.547","0.78"
"30","703.547","0.586"
"31","703.547","0.396"
"32","703.547","0.195"
"33","703.547","1.368"
"34","703.547","0.39"
"35","703.547","1.17"
"36","703.547","0.973"
"37","703.547","0.389"
"38","703.547","0.198"
"39","703.547","0.583"
"40","703.547","0.583"
"41","703.547","0.389"
"42","703.547","0.595"
"43","656.262","0"
"44","656.262","0.97"
"45","656.262","0.194"
"46","656.266","0.198"
"47","656.27","0.972"
"48","656.273","0.972"
"49","656.277","0.195"
"50","656.277","0.987"
"51","656.277","0.586"
"52","656.277","0.976"
"53","656.277","1.365"
"54","656.277","1.56"
"55","656.277","0.778"
"56","656.277","0.194"
"57","656.281","0.793"
"58","656.281","0.587"
"59","656.281","0.583"
"60","656.281","0.586"
"61","656.281","0.195"
"62","656.281","1.171"
"63","656.285","0.78"
"64","656.285","0.976"
"65","656.285","0.778"
"66","656.297","1.368"
"67","656.301","0.976"
"68","656.301","0.975"
"69","656.309","0.975"
"70","656.309","0.396"
"71","656.309","1.367"
"72","656.309","0.78"
"73","656.312","1.559"
"74","656.312","0.583"
"75","656.312","0.976"
"76","656.312","0.973"
"77","656.312","1.56"
"78","656.312","0.781"
"79","656.312","0.197"
"80","656.316","0.585"
"81","655.949","0.78"
"82","655.414","0.194"
"83","655.414","0.39"
"84","655.414","0.586"
"85","655.414","0.595"
"86","655.414","0.195"
"87","655.426","0.781"
"88","655.426","0.585"
"89","655.426","0.975"
"90","655.426","0.584"
"91","655.426","0.389"
"92","655.43","0"
"93","655.43","1.168"
"94","655.43","1.165"
"95","655.438","0"
"96","655.441","0.975"
"97","655.441","0.389"
"98","655.445","0.194"
"99","655.449","0.592"
"100","655.449","0.971"
"101","655.457","0.582"
"102","655.457","0.197"
"103","655.457","0.584"
"104","655.457","0.389"
"105","655.461","0.197"
"106","655.465","0.389"
"107","655.465","0.972"
"108","655.469","0.583"
"109","655.473","0.39"
"110","655.473","0"
"111","655.484","0.388"
"112","655.484","0.583"
"113","655.488","1.187"
"114","655.488","0.194"
"115","655.488","0.778"
"116","655.492","0.585"
"117","655.742","0.391"
"118","655.75","0"
"119","655.75","0.583"
"120","655.855","0.584"
"121","655.859","0.789"
"122","655.859","0.195"
"123","655.859","0.195"
"124","655.859","0.971"
"125","655.863","0.197"
"126","655.863","0.389"
"127","655.867","0.973"
"128","655.867","0.779"
"129","655.863","0.395"
"130","655.863","1.555"
"131","655.867","0.583"
"132","655.875","0"
"133","655.879","1.949"
"134","655.879","0.972"
"135","655.879","0.195"
"136","655.879","0.198"
"137","655.887","0.194"
"138","655.895","0.975"
"139","655.895","1.167"
"140","655.895","0.78"
"141","655.895","0.585"
"142","655.898","0.391"
"143","655.898","1.171"
"144","655.902","0.975"
"145","655.906","0.396"
"146","655.91","1.562"
"147","655.91","0.586"
"148","655.914","0.584"
"149","655.914","0.391"
"150","655.922","1.173"
"151","655.922","0.974"
"152","655.926","0.585"
"153","655.926","0.777"
"154","655.926","0.593"
"155","655.93","0.976"
"156","655.934","0.584"
"157","655.934","0"
