❯  Starting publish benchmark, connections: 10, req interval: 10ms, message interval: 20ms
...  [0/10] - Connecting...
√  [1/10] - Connected
...  [1/10] - Connecting...
√  [2/10] - Connected
...  [2/10] - Connecting...
√  [3/10] - Connected
...  [3/10] - Connecting...
√  [4/10] - Connected
...  [4/10] - Connecting...
√  [5/10] - Connected
...  [5/10] - Connecting...
√  [6/10] - Connected
...  [6/10] - Connecting...
√  [7/10] - Connected
...  [7/10] - Connecting...
√  [8/10] - Connected
...  [8/10] - Connecting...
√  [9/10] - Connected
...  [9/10] - Connecting...
√  [10/10] - Connected
√  Created 10 connections in 0.165s
Published total: 322, message rate: 322/s
Published total: 652, message rate: 330/s
Published total: 972, message rate: 320/s
Published total: 1302, message rate: 330/s
Published total: 1622, message rate: 320/s
Published total: 1952, message rate: 330/s
Published total: 2272, message rate: 320/s
Published total: 2602, message rate: 330/s
Published total: 2922, message rate: 320/s
Published total: 3252, message rate: 330/s
Published total: 3572, message rate: 320/s
Published total: 3902, message rate: 330/s
Published total: 4222, message rate: 320/s
Published total: 4552, message rate: 330/s
Published total: 4872, message rate: 320/s
Published total: 5202, message rate: 330/s
Published total: 5532, message rate: 330/s
Published total: 5862, message rate: 330/s
Published total: 6182, message rate: 320/s
Published total: 6512, message rate: 330/s
Published total: 6832, message rate: 320/s
Published total: 7162, message rate: 330/s
Published total: 7482, message rate: 320/s
Published total: 7812, message rate: 330/s
Published total: 8132, message rate: 320/s
Published total: 8462, message rate: 330/s
Published total: 8782, message rate: 320/s
Published total: 9112, message rate: 330/s
Published total: 9432, message rate: 320/s
Published total: 9762, message rate: 330/s
Published total: 10082, message rate: 320/s
Published total: 10412, message rate: 330/s
Published total: 10732, message rate: 320/s
Published total: 11062, message rate: 330/s
Published total: 11382, message rate: 320/s
Published total: 11712, message rate: 330/s
Published total: 12032, message rate: 320/s
Published total: 12362, message rate: 330/s
Published total: 12682, message rate: 320/s
Published total: 13012, message rate: 330/s
Published total: 13332, message rate: 320/s
Published total: 13662, message rate: 330/s
