❯  Starting publish benchmark, connections: 1, req interval: 10ms, message interval: 20ms
...  [0/1] - Connecting...
√  [1/1] - Connected
√  Created 1 connections in 0.022s
Published total: 32, message rate: 32/s
Published total: 65, message rate: 33/s
Published total: 97, message rate: 32/s
Published total: 130, message rate: 33/s
Published total: 162, message rate: 32/s
Published total: 195, message rate: 33/s
Published total: 227, message rate: 32/s
Published total: 260, message rate: 33/s
Published total: 292, message rate: 32/s
Published total: 325, message rate: 33/s
Published total: 357, message rate: 32/s
Published total: 390, message rate: 33/s
Published total: 422, message rate: 32/s
Published total: 455, message rate: 33/s
Published total: 488, message rate: 33/s
Published total: 520, message rate: 32/s
Published total: 553, message rate: 33/s
Published total: 585, message rate: 32/s
Published total: 618, message rate: 33/s
Published total: 650, message rate: 32/s
Published total: 683, message rate: 33/s
Published total: 715, message rate: 32/s
Published total: 748, message rate: 33/s
Published total: 780, message rate: 32/s
Published total: 814, message rate: 34/s
Published total: 846, message rate: 32/s
Published total: 879, message rate: 33/s
Published total: 911, message rate: 32/s
Published total: 944, message rate: 33/s
Published total: 976, message rate: 32/s
Published total: 1009, message rate: 33/s
Published total: 1041, message rate: 32/s
Published total: 1074, message rate: 33/s
Published total: 1106, message rate: 32/s
Published total: 1139, message rate: 33/s
Published total: 1171, message rate: 32/s
Published total: 1204, message rate: 33/s
Published total: 1233, message rate: 29/s
Published total: 1265, message rate: 32/s
Published total: 1298, message rate: 33/s
Published total: 1330, message rate: 32/s
Published total: 1363, message rate: 33/s
Published total: 1395, message rate: 32/s
Published total: 1428, message rate: 33/s
Published total: 1460, message rate: 32/s
Published total: 1493, message rate: 33/s
Published total: 1525, message rate: 32/s
Published total: 1558, message rate: 33/s
Published total: 1590, message rate: 32/s
Published total: 1623, message rate: 33/s
Published total: 1656, message rate: 33/s
Published total: 1688, message rate: 32/s
Published total: 1721, message rate: 33/s
Published total: 1754, message rate: 33/s
Published total: 1787, message rate: 33/s
Published total: 1820, message rate: 33/s
Published total: 1853, message rate: 33/s
Published total: 1885, message rate: 32/s
Published total: 1918, message rate: 33/s
Published total: 1950, message rate: 32/s
Published total: 1983, message rate: 33/s
Published total: 2016, message rate: 33/s
Published total: 2049, message rate: 33/s
Published total: 2082, message rate: 33/s
Published total: 2114, message rate: 32/s
Published total: 2147, message rate: 33/s
Published total: 2179, message rate: 32/s
Published total: 2212, message rate: 33/s
Published total: 2244, message rate: 32/s
Published total: 2277, message rate: 33/s
Published total: 2309, message rate: 32/s
Published total: 2342, message rate: 33/s
Published total: 2374, message rate: 32/s
Published total: 2407, message rate: 33/s
Published total: 2439, message rate: 32/s
Published total: 2472, message rate: 33/s
Published total: 2504, message rate: 32/s
Published total: 2537, message rate: 33/s
Published total: 2569, message rate: 32/s
Published total: 2602, message rate: 33/s
Published total: 2634, message rate: 32/s
Published total: 2667, message rate: 33/s
Published total: 2699, message rate: 32/s
Published total: 2732, message rate: 33/s
Published total: 2764, message rate: 32/s
Published total: 2797, message rate: 33/s
Published total: 2829, message rate: 32/s
Published total: 2862, message rate: 33/s
Published total: 2895, message rate: 33/s
Published total: 2927, message rate: 32/s
Published total: 2960, message rate: 33/s
Published total: 2993, message rate: 33/s
Published total: 3025, message rate: 32/s
Published total: 3058, message rate: 33/s
Published total: 3091, message rate: 33/s
Published total: 3124, message rate: 33/s
Published total: 3156, message rate: 32/s
Published total: 3189, message rate: 33/s
Published total: 3222, message rate: 33/s
Published total: 3254, message rate: 32/s
Published total: 3287, message rate: 33/s
Published total: 3320, message rate: 33/s
Published total: 3353, message rate: 33/s
Published total: 3385, message rate: 32/s
Published total: 3418, message rate: 33/s
Published total: 3451, message rate: 33/s
Published total: 3484, message rate: 33/s
Published total: 3516, message rate: 32/s
Published total: 3549, message rate: 33/s
Published total: 3581, message rate: 32/s
Published total: 3614, message rate: 33/s
Published total: 3647, message rate: 33/s
Published total: 3679, message rate: 32/s
Published total: 3712, message rate: 33/s
Published total: 3745, message rate: 33/s
Published total: 3777, message rate: 32/s
Published total: 3810, message rate: 33/s
Published total: 3842, message rate: 32/s
Published total: 3875, message rate: 33/s
Published total: 3907, message rate: 32/s
Published total: 3940, message rate: 33/s
Published total: 3973, message rate: 33/s
Published total: 4005, message rate: 32/s
Published total: 4038, message rate: 33/s
Published total: 4070, message rate: 32/s
Published total: 4103, message rate: 33/s
Published total: 4136, message rate: 33/s
Published total: 4168, message rate: 32/s
Published total: 4201, message rate: 33/s
Published total: 4233, message rate: 32/s
Published total: 4266, message rate: 33/s
Published total: 4298, message rate: 32/s
Published total: 4331, message rate: 33/s
Published total: 4363, message rate: 32/s
Published total: 4396, message rate: 33/s
Published total: 4428, message rate: 32/s
Published total: 4461, message rate: 33/s
Published total: 4493, message rate: 32/s
Published total: 4526, message rate: 33/s
Published total: 4558, message rate: 32/s
Published total: 4591, message rate: 33/s
Published total: 4623, message rate: 32/s
Published total: 4656, message rate: 33/s
Published total: 4688, message rate: 32/s
Published total: 4721, message rate: 33/s
Published total: 4753, message rate: 32/s
Published total: 4786, message rate: 33/s
Published total: 4818, message rate: 32/s
Published total: 4851, message rate: 33/s
Published total: 4883, message rate: 32/s
Published total: 4916, message rate: 33/s
Published total: 4948, message rate: 32/s
Published total: 4981, message rate: 33/s
Published total: 5000, message rate: 19/s
