"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","83.762","1.157"
"2","83.762","1.779"
"3","83.762","3.31"
"4","83.762","3.71"
"5","83.762","4.088"
"6","83.762","2.93"
"7","83.762","3.508"
"8","83.762","3.132"
"9","83.762","3.513"
"10","83.762","3.267"
"11","83.762","3.17"
"12","83.762","3.324"
"13","83.762","3.268"
"14","83.762","1.78"
"15","83.762","3.718"
"16","83.762","3.129"
"17","83.762","2.688"
"18","83.762","3.38"
"19","83.762","3.519"
"20","83.762","2.684"
"21","83.762","3.371"
"22","83.762","2.736"
"23","83.762","2.535"
"24","83.762","3.315"
"25","83.762","3.712"
"26","83.762","3.129"
"27","83.762","3.511"
"28","83.762","3.52"
"29","83.762","2.926"
"30","83.762","3.522"
"31","83.762","3.71"
"32","83.785","2.731"
"33","83.785","2.729"
"34","83.785","2.774"
"35","83.785","3.022"
"36","83.785","3.438"
"37","83.785","3.513"
"38","83.785","3.509"
"39","83.785","3.125"
"40","83.785","3.322"
"41","83.785","3.32"
"42","83.785","3.702"
"43","83.785","2.929"
"44","83.785","3.317"
"45","83.785","4.1"
"46","83.785","3.311"
"47","83.785","3.512"
"48","83.785","2.732"
"49","83.785","3.313"
"50","83.785","1.386"
"51","83.785","2.924"
"52","83.785","4.098"
"53","83.785","3.504"
"54","83.785","3.129"
"55","83.785","3.695"
"56","83.785","3.467"
"57","83.785","3.762"
"58","83.785","2.494"
"59","83.785","2.572"
"60","83.785","3.127"
"61","83.785","3.316"
"62","83.785","2.973"
"63","83.785","2.735"
"64","83.785","3.506"
"65","83.785","2.931"
"66","83.785","3.126"
"67","83.785","3.128"
"68","83.785","4.279"
"69","83.785","3.911"
"70","83.785","3.703"
"71","83.785","3.912"
"72","83.785","2.922"
"73","83.785","3.318"
"74","83.75","3.123"
"75","83.75","3.077"
"76","83.75","2.927"
"77","83.75","2.734"
"78","83.75","2.973"
"79","83.75","3.513"
"80","83.75","2.74"
"81","83.75","3.071"
"82","83.75","2.978"
"83","83.75","3.718"
"84","83.75","2.491"
"85","83.75","1.388"
"86","83.75","2.374"
"87","83.75","3.701"
"88","83.75","3.517"
"89","83.75","4.089"
"90","83.75","4.112"
"91","83.75","3.51"
"92","83.75","3.714"
"93","83.75","3.116"
"94","83.75","3.323"
"95","83.75","2.536"
"96","83.75","3.711"
"97","83.75","3.311"
"98","83.75","3.131"
"99","83.75","2.497"
"100","83.75","2.779"
"101","83.75","2.702"
"102","83.75","3.372"
"103","83.75","3.51"
"104","83.75","3.325"
"105","83.75","2.928"
"106","83.75","3.121"
"107","83.75","3.268"
"108","83.75","2.967"
"109","83.75","3.709"
"110","83.75","2.543"
"111","83.75","3.313"
"112","83.75","3.519"
"113","83.75","1.382"
"114","83.75","3.311"
"115","83.75","4.281"
"116","83.75","3.895"
"117","83.75","2.143"
"118","83.75","3.708"
"119","83.75","3.513"
"120","83.75","2.972"
"121","83.75","3.504"
"122","83.75","3.323"
"123","83.75","3.308"
"124","83.75","3.513"
"125","83.75","3.317"
"126","83.75","3.272"
"127","83.75","3.368"
"128","83.75","3.078"
"129","83.75","3.128"
"130","83.75","2.375"
"131","83.75","2.924"
"132","83.75","3.122"
"133","83.75","3.361"
"134","83.75","3.511"
"135","83.75","2.93"
"136","83.75","4.092"
"137","83.75","4.104"
"138","83.75","3.698"
"139","83.75","3.269"
"140","83.75","3.568"
"141","83.738","3.076"
"142","83.738","3.372"
"143","83.738","3.915"
"144","83.738","3.31"
"145","83.738","2.732"
"146","83.738","3.323"
"147","83.738","3.522"
"148","83.738","3.655"
"149","83.738","3.122"
"150","83.738","3.572"
"151","83.738","2.504"
"152","83.738","3.176"
"153","83.738","3.709"
"154","83.738","3.308"
"155","83.738","1.955"
"156","83.738","0"
