❯  Starting publish benchmark, connections: 1, req interval: 10ms, message interval: 20ms
...  [0/1] - Connecting...
√  [1/1] - Connected
√  Created 1 connections in 0.022s
Published total: 33, message rate: 33/s
Published total: 65, message rate: 32/s
Published total: 98, message rate: 33/s
Published total: 130, message rate: 32/s
Published total: 163, message rate: 33/s
Published total: 196, message rate: 33/s
Published total: 228, message rate: 32/s
Published total: 261, message rate: 33/s
Published total: 294, message rate: 33/s
Published total: 326, message rate: 32/s
Published total: 359, message rate: 33/s
Published total: 392, message rate: 33/s
Published total: 425, message rate: 33/s
Published total: 458, message rate: 33/s
Published total: 490, message rate: 32/s
Published total: 523, message rate: 33/s
Published total: 556, message rate: 33/s
Published total: 589, message rate: 33/s
Published total: 621, message rate: 32/s
Published total: 654, message rate: 33/s
Published total: 687, message rate: 33/s
Published total: 720, message rate: 33/s
Published total: 752, message rate: 32/s
Published total: 785, message rate: 33/s
Published total: 817, message rate: 32/s
Published total: 850, message rate: 33/s
Published total: 883, message rate: 33/s
Published total: 916, message rate: 33/s
Published total: 948, message rate: 32/s
Published total: 981, message rate: 33/s
Published total: 1013, message rate: 32/s
Published total: 1046, message rate: 33/s
Published total: 1079, message rate: 33/s
Published total: 1111, message rate: 32/s
Published total: 1144, message rate: 33/s
Published total: 1176, message rate: 32/s
Published total: 1209, message rate: 33/s
Published total: 1241, message rate: 32/s
Published total: 1274, message rate: 33/s
Published total: 1306, message rate: 32/s
Published total: 1339, message rate: 33/s
Published total: 1371, message rate: 32/s
Published total: 1404, message rate: 33/s
Published total: 1437, message rate: 33/s
Published total: 1469, message rate: 32/s
Published total: 1502, message rate: 33/s
Published total: 1534, message rate: 32/s
Published total: 1567, message rate: 33/s
Published total: 1599, message rate: 32/s
Published total: 1632, message rate: 33/s
Published total: 1665, message rate: 33/s
Published total: 1697, message rate: 32/s
Published total: 1730, message rate: 33/s
Published total: 1762, message rate: 32/s
Published total: 1795, message rate: 33/s
Published total: 1828, message rate: 33/s
Published total: 1860, message rate: 32/s
Published total: 1893, message rate: 33/s
Published total: 1926, message rate: 33/s
Published total: 1958, message rate: 32/s
Published total: 1991, message rate: 33/s
Published total: 2024, message rate: 33/s
Published total: 2056, message rate: 32/s
Published total: 2089, message rate: 33/s
Published total: 2121, message rate: 32/s
Published total: 2154, message rate: 33/s
Published total: 2186, message rate: 32/s
Published total: 2219, message rate: 33/s
Published total: 2252, message rate: 33/s
Published total: 2284, message rate: 32/s
Published total: 2317, message rate: 33/s
Published total: 2349, message rate: 32/s
Published total: 2382, message rate: 33/s
Published total: 2414, message rate: 32/s
Published total: 2447, message rate: 33/s
Published total: 2479, message rate: 32/s
Published total: 2512, message rate: 33/s
Published total: 2544, message rate: 32/s
Published total: 2577, message rate: 33/s
Published total: 2610, message rate: 33/s
Published total: 2643, message rate: 33/s
Published total: 2675, message rate: 32/s
Published total: 2708, message rate: 33/s
Published total: 2741, message rate: 33/s
Published total: 2773, message rate: 32/s
Published total: 2806, message rate: 33/s
Published total: 2838, message rate: 32/s
Published total: 2871, message rate: 33/s
Published total: 2903, message rate: 32/s
Published total: 2936, message rate: 33/s
Published total: 2969, message rate: 33/s
Published total: 3001, message rate: 32/s
Published total: 3034, message rate: 33/s
Published total: 3066, message rate: 32/s
Published total: 3099, message rate: 33/s
Published total: 3131, message rate: 32/s
Published total: 3164, message rate: 33/s
Published total: 3196, message rate: 32/s
Published total: 3229, message rate: 33/s
Published total: 3261, message rate: 32/s
Published total: 3294, message rate: 33/s
Published total: 3326, message rate: 32/s
Published total: 3359, message rate: 33/s
Published total: 3391, message rate: 32/s
Published total: 3424, message rate: 33/s
Published total: 3456, message rate: 32/s
Published total: 3489, message rate: 33/s
Published total: 3521, message rate: 32/s
Published total: 3554, message rate: 33/s
Published total: 3586, message rate: 32/s
Published total: 3619, message rate: 33/s
Published total: 3652, message rate: 33/s
Published total: 3684, message rate: 32/s
Published total: 3717, message rate: 33/s
Published total: 3750, message rate: 33/s
Published total: 3782, message rate: 32/s
Published total: 3815, message rate: 33/s
Published total: 3848, message rate: 33/s
Published total: 3880, message rate: 32/s
Published total: 3913, message rate: 33/s
Published total: 3946, message rate: 33/s
Published total: 3979, message rate: 33/s
Published total: 4011, message rate: 32/s
Published total: 4044, message rate: 33/s
Published total: 4077, message rate: 33/s
Published total: 4109, message rate: 32/s
Published total: 4142, message rate: 33/s
Published total: 4174, message rate: 32/s
Published total: 4207, message rate: 33/s
Published total: 4239, message rate: 32/s
Published total: 4272, message rate: 33/s
Published total: 4305, message rate: 33/s
Published total: 4338, message rate: 33/s
Published total: 4370, message rate: 32/s
Published total: 4403, message rate: 33/s
Published total: 4436, message rate: 33/s
Published total: 4469, message rate: 33/s
Published total: 4501, message rate: 32/s
Published total: 4534, message rate: 33/s
Published total: 4566, message rate: 32/s
Published total: 4599, message rate: 33/s
Published total: 4631, message rate: 32/s
Published total: 4664, message rate: 33/s
Published total: 4697, message rate: 33/s
Published total: 4730, message rate: 33/s
Published total: 4763, message rate: 33/s
Published total: 4796, message rate: 33/s
Published total: 4828, message rate: 32/s
Published total: 4861, message rate: 33/s
Published total: 4893, message rate: 32/s
Published total: 4926, message rate: 33/s
Published total: 4959, message rate: 33/s
Published total: 4991, message rate: 32/s
Published total: 5000, message rate: 9/s
