"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","81.516","0.195"
"2","81.52","0"
"3","81.52","0.195"
"4","81.523","0.194"
"5","81.664","0"
"6","81.668","0"
"7","81.668","0.195"
"8","81.672","0"
"9","81.672","0"
"10","81.676","0"
