"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","86.656","0.778"
"2","86.773","9.91"
"3","86.773","12.587"
"4","86.812","12.054"
"5","86.812","12.433"
"6","86.812","12.22"
"7","86.812","12.426"
"8","86.812","12.408"
"9","86.879","12.206"
"10","86.879","12.217"
"11","86.879","12.025"
"12","86.879","12.59"
"13","86.879","12.43"
"14","86.918","12.587"
"15","86.918","11.63"
"16","86.938","12.23"
"17","86.938","11.824"
"18","86.977","12.209"
"19","87.156","12.416"
"20","87.156","12.59"
"21","87.156","12.226"
"22","87.156","12.21"
"23","87.156","12.014"
"24","87.156","12.22"
"25","87.156","12.203"
"26","87.215","12.41"
"27","87.215","12.395"
"28","87.215","12.227"
"29","87.215","12.614"
"30","87.215","12.411"
"31","87.215","12.218"
"32","87.215","12.41"
"33","87.215","12.218"
"34","87.215","12.803"
"35","87.215","12.226"
"36","87.215","12.031"
"37","87.215","12.421"
"38","87.215","12.585"
"39","87.215","12.009"
"40","87.215","12.22"
"41","87.234","12.253"
"42","87.254","12.234"
"43","87.254","12.415"
"44","87.254","12.25"
"45","87.254","12.022"
"46","87.254","12.613"
"47","87.254","12.027"
"48","87.254","12.413"
"49","87.254","12.235"
"50","87.254","12.589"
"51","87.254","12.431"
"52","87.254","11.615"
"53","87.258","12.409"
"54","87.258","12.585"
"55","87.258","12.466"
"56","87.258","12.004"
"57","87.258","12.617"
"58","87.258","12.41"
"59","87.258","12.419"
"60","87.258","12.61"
"61","87.258","12.219"
"62","87.258","12.216"
"63","87.336","12.227"
"64","87.336","12.611"
"65","87.336","11.812"
"66","87.336","12.61"
"67","87.336","12.188"
"68","87.336","12.613"
"69","87.336","12.417"
"70","87.336","12.024"
"71","87.336","12.425"
"72","87.336","12.197"
"73","87.336","12.411"
"74","87.336","12.402"
"75","87.336","12.212"
"76","87.336","12.41"
"77","87.336","12.616"
"78","87.336","12.186"
"79","87.336","12.237"
"80","87.336","12.194"
"81","87.336","12.442"
"82","87.336","11.618"
"83","87.336","12.604"
"84","87.336","12.426"
"85","87.336","12.408"
"86","87.336","12.615"
"87","87.336","11.807"
"88","87.336","12.632"
"89","87.336","12.211"
"90","87.336","12.432"
"91","87.336","12.614"
"92","87.336","12.416"
"93","87.336","12.607"
"94","87.336","12.191"
"95","87.336","13.027"
"96","87.336","12.388"
"97","87.312","12.086"
"98","87.312","12.033"
"99","87.312","12.2"
"100","87.312","12.607"
"101","87.312","12.405"
"102","87.312","12.444"
"103","87.312","12.619"
"104","87.312","12.026"
"105","87.312","12.789"
"106","87.312","12.017"
"107","87.312","12.227"
"108","87.312","12.403"
"109","87.312","12.423"
"110","87.312","12.402"
"111","87.312","12.243"
"112","87.312","12.392"
"113","87.312","12.413"
"114","87.312","12.37"
"115","87.312","12.252"
"116","87.312","12.585"
"117","87.312","12.231"
"118","87.312","12.227"
"119","87.312","12.228"
"120","87.312","11.633"
"121","87.312","12.597"
"122","87.312","12.222"
"123","87.312","12.6"
"124","87.391","12.044"
"125","87.449","11.848"
"126","87.449","12.209"
"127","87.449","12.412"
"128","87.449","11.994"
"129","87.684","12.411"
"130","87.684","12.219"
"131","87.723","12.218"
"132","87.723","12.599"
"133","87.723","12.23"
"134","87.723","12.409"
"135","87.723","12.401"
"136","87.723","12.626"
"137","87.762","12.215"
"138","87.762","12.405"
"139","87.801","12.2"
"140","87.801","12.411"
"141","87.801","12.417"
"142","87.82","12.041"
"143","87.82","12.592"
"144","87.82","11.988"
"145","87.82","12.65"
"146","87.82","12.609"
"147","87.84","12.379"
"148","87.918","12.05"
"149","87.938","12.402"
"150","87.957","12.418"
"151","88","12.012"
"152","88.078","12.231"
"153","88.098","12.01"
"154","88.195","12.617"
"155","88.254","11.62"
"156","88.254","12.407"
"157","88.254","12.217"
"158","88.254","12.405"
