❯  Starting publish benchmark, connections: 1, req interval: 10ms, message interval: 20ms
...  [0/1] - Connecting...
√  [1/1] - Connected
√  Created 1 connections in 0.019s
Published total: 32, message rate: 32/s
Published total: 65, message rate: 33/s
Published total: 98, message rate: 33/s
Published total: 130, message rate: 32/s
Published total: 163, message rate: 33/s
Published total: 196, message rate: 33/s
Published total: 229, message rate: 33/s
Published total: 261, message rate: 32/s
Published total: 294, message rate: 33/s
Published total: 326, message rate: 32/s
Published total: 359, message rate: 33/s
Published total: 391, message rate: 32/s
Published total: 424, message rate: 33/s
Published total: 457, message rate: 33/s
Published total: 490, message rate: 33/s
Published total: 523, message rate: 33/s
Published total: 557, message rate: 34/s
Published total: 590, message rate: 33/s
Published total: 623, message rate: 33/s
Published total: 655, message rate: 32/s
Published total: 688, message rate: 33/s
Published total: 720, message rate: 32/s
Published total: 753, message rate: 33/s
Published total: 785, message rate: 32/s
Published total: 818, message rate: 33/s
Published total: 851, message rate: 33/s
Published total: 883, message rate: 32/s
Published total: 916, message rate: 33/s
Published total: 949, message rate: 33/s
Published total: 981, message rate: 32/s
Published total: 1014, message rate: 33/s
Published total: 1047, message rate: 33/s
Published total: 1079, message rate: 32/s
Published total: 1112, message rate: 33/s
Published total: 1145, message rate: 33/s
Published total: 1177, message rate: 32/s
Published total: 1210, message rate: 33/s
Published total: 1243, message rate: 33/s
Published total: 1275, message rate: 32/s
Published total: 1308, message rate: 33/s
Published total: 1341, message rate: 33/s
Published total: 1373, message rate: 32/s
Published total: 1406, message rate: 33/s
Published total: 1438, message rate: 32/s
Published total: 1471, message rate: 33/s
Published total: 1504, message rate: 33/s
Published total: 1536, message rate: 32/s
Published total: 1569, message rate: 33/s
Published total: 1601, message rate: 32/s
Published total: 1634, message rate: 33/s
Published total: 1667, message rate: 33/s
Published total: 1699, message rate: 32/s
Published total: 1732, message rate: 33/s
Published total: 1764, message rate: 32/s
Published total: 1797, message rate: 33/s
Published total: 1830, message rate: 33/s
Published total: 1862, message rate: 32/s
Published total: 1895, message rate: 33/s
Published total: 1928, message rate: 33/s
Published total: 1960, message rate: 32/s
Published total: 1993, message rate: 33/s
Published total: 2025, message rate: 32/s
Published total: 2058, message rate: 33/s
Published total: 2091, message rate: 33/s
Published total: 2123, message rate: 32/s
Published total: 2156, message rate: 33/s
Published total: 2188, message rate: 32/s
Published total: 2221, message rate: 33/s
Published total: 2254, message rate: 33/s
Published total: 2286, message rate: 32/s
Published total: 2319, message rate: 33/s
Published total: 2351, message rate: 32/s
Published total: 2384, message rate: 33/s
Published total: 2416, message rate: 32/s
Published total: 2449, message rate: 33/s
Published total: 2481, message rate: 32/s
Published total: 2514, message rate: 33/s
Published total: 2547, message rate: 33/s
Published total: 2579, message rate: 32/s
Published total: 2612, message rate: 33/s
Published total: 2645, message rate: 33/s
Published total: 2677, message rate: 32/s
Published total: 2710, message rate: 33/s
Published total: 2742, message rate: 32/s
Published total: 2775, message rate: 33/s
Published total: 2807, message rate: 32/s
Published total: 2840, message rate: 33/s
Published total: 2873, message rate: 33/s
Published total: 2906, message rate: 33/s
Published total: 2938, message rate: 32/s
Published total: 2971, message rate: 33/s
Published total: 3003, message rate: 32/s
Published total: 3036, message rate: 33/s
Published total: 3068, message rate: 32/s
Published total: 3101, message rate: 33/s
Published total: 3133, message rate: 32/s
Published total: 3166, message rate: 33/s
Published total: 3199, message rate: 33/s
Published total: 3231, message rate: 32/s
Published total: 3264, message rate: 33/s
Published total: 3297, message rate: 33/s
Published total: 3330, message rate: 33/s
Published total: 3362, message rate: 32/s
Published total: 3395, message rate: 33/s
Published total: 3428, message rate: 33/s
Published total: 3460, message rate: 32/s
Published total: 3493, message rate: 33/s
Published total: 3525, message rate: 32/s
Published total: 3558, message rate: 33/s
Published total: 3590, message rate: 32/s
Published total: 3623, message rate: 33/s
Published total: 3655, message rate: 32/s
Published total: 3688, message rate: 33/s
Published total: 3720, message rate: 32/s
Published total: 3753, message rate: 33/s
Published total: 3786, message rate: 33/s
Published total: 3818, message rate: 32/s
Published total: 3851, message rate: 33/s
Published total: 3884, message rate: 33/s
Published total: 3916, message rate: 32/s
Published total: 3949, message rate: 33/s
Published total: 3981, message rate: 32/s
Published total: 4014, message rate: 33/s
Published total: 4046, message rate: 32/s
Published total: 4079, message rate: 33/s
Published total: 4111, message rate: 32/s
Published total: 4144, message rate: 33/s
Published total: 4176, message rate: 32/s
Published total: 4209, message rate: 33/s
Published total: 4241, message rate: 32/s
Published total: 4274, message rate: 33/s
Published total: 4306, message rate: 32/s
Published total: 4339, message rate: 33/s
Published total: 4371, message rate: 32/s
Published total: 4404, message rate: 33/s
Published total: 4436, message rate: 32/s
Published total: 4469, message rate: 33/s
Published total: 4501, message rate: 32/s
Published total: 4534, message rate: 33/s
Published total: 4566, message rate: 32/s
Published total: 4599, message rate: 33/s
Published total: 4631, message rate: 32/s
Published total: 4664, message rate: 33/s
Published total: 4696, message rate: 32/s
Published total: 4729, message rate: 33/s
Published total: 4761, message rate: 32/s
Published total: 4794, message rate: 33/s
Published total: 4826, message rate: 32/s
Published total: 4859, message rate: 33/s
Published total: 4891, message rate: 32/s
Published total: 4924, message rate: 33/s
Published total: 4956, message rate: 32/s
Published total: 4989, message rate: 33/s
Published total: 5000, message rate: 11/s
