"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","618.281","0.384"
"2","575.922","0.396"
"3","575.922","0.196"
"4","575.938","0.584"
"5","575.945","0.777"
"6","575.953","0.391"
"7","575.965","0.585"
"8","575.992","0.974"
"9","576.02","0.395"
"10","576.023","0.586"
"11","576.043","0.195"
"12","576.062","0.778"
"13","576.082","0.585"
"14","576.109","0.975"
"15","576.117","0.585"
"16","576.121","0.979"
"17","576.133","0.779"
"18","576.148","0.586"
"19","576.164","0.586"
"20","576.168","0.585"
"21","576.176","0.396"
"22","576.191","0.195"
"23","576.215","0.584"
"24","576.234","0.39"
"25","576.25","0.391"
"26","576.27","0.779"
"27","576.27","0.781"
"28","576.289","0.975"
"29","576.297","0.977"
"30","576.316","0.585"
"31","576.328","0.586"
"32","576.344","0.593"
"33","576.371","0.586"
"34","576.387","0"
"35","576.395","0.584"
"36","576.406","0.39"
"37","576.414","0.972"
"38","576.418","0.391"
"39","576.426","0.39"
"40","576.434","0.789"
"41","468.473","0.979"
"42","468.5","0.195"
"43","452.531","0.585"
"44","452.555","0.58"
"45","452.57","0.391"
"46","452.59","0.396"
"47","452.613","0"
"48","452.637","1.366"
"49","452.656","0.195"
"50","452.684","0.977"
"51","452.703","0"
"52","452.723","0.39"
"53","452.75","0.586"
"54","452.785","0.39"
"55","452.801","0.39"
"56","452.848","0.976"
"57","452.895","0.586"
"58","452.922","0.792"
"59","452.957","0.781"
"60","452.992","0.39"
"61","453.016","0.585"
"62","453.055","0.585"
"63","453.078","0.977"
"64","453.105","0.782"
"65","453.137","0.391"
"66","453.176","0.195"
"67","453.203","0.584"
"68","453.238","0.195"
"69","453.266","0.782"
"70","453.293","0.586"
"71","453.34","0.389"
"72","453.363","0.196"
"73","453.387","0.39"
"74","453.43","0.592"
"75","453.453","0"
"76","453.492","0.389"
"77","453.523","0.586"
"78","453.562","0.584"
"79","453.59","0.78"
"80","453.629","0.782"
"81","453.652","0.781"
"82","453.684","0.39"
"83","453.715","0.39"
"84","453.738","0.195"
"85","453.781","0.396"
"86","453.82","0.195"
"87","453.859","0.78"
"88","453.879","0.39"
"89","453.902","0.195"
"90","453.938","0.585"
"91","453.953","0.782"
"92","453.992","0.585"
"93","454.02","0.978"
"94","454.051","0.586"
"95","454.09","0.586"
"96","454.121","0.39"
"97","454.164","0.977"
"98","454.195","0.977"
"99","454.23","0.78"
"100","454.27","0.39"
"101","454.305","0.593"
"102","454.34","0"
"103","454.355","0.39"
"104","454.379","0.584"
"105","454.41","0.195"
"106","454.445","0.78"
"107","454.477","0.396"
"108","454.512","0.384"
"109","454.551","0.586"
"110","454.59","0.592"
"111","454.637","0.195"
"112","454.688","0.779"
"113","454.734","0.391"
"114","454.77","0.583"
"115","454.809","0.391"
"116","454.84","0.391"
"117","454.879","0.195"
"118","454.914","1.17"
"119","454.949","0.195"
"120","454.984","0.586"
"121","455.023","0.779"
"122","455.051","0.396"
"123","455.094","0"
"124","432.66","0.585"
"125","416.699","0.39"
"126","377.352","0"
"127","377.395","0.782"
"128","333.145","0.389"
"129","333.191","0.974"
"130","333.246","0.195"
"131","333.301","0.586"
"132","333.348","0.791"
"133","333.387","0.389"
"134","333.438","0"
"135","333.488","0.195"
"136","333.523","0.782"
"137","333.586","1.165"
"138","333.625","0.391"
"139","333.68","0.391"
"140","333.727","0.593"
"141","333.773","0.39"
"142","333.832","0.78"
"143","333.875","0.195"
"144","333.926","0.195"
"145","333.969","0.78"
"146","334.016","0.974"
"147","334.062","0"
"148","334.098","1.556"
"149","334.152","0.595"
"150","334.203","0.39"
"151","334.27","0.584"
"152","334.324","0.389"
"153","334.375","0.39"
"154","334.449","0.585"
"155","334.508","0.791"
"156","334.562","0.195"
"157","334.613","0.39"
