"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","62.281","0"
"2","62.281","0.583"
"3","62.281","3.355"
"4","62.281","3.298"
"5","62.281","1.36"
"6","62.281","5.318"
"7","62.281","0.776"
"8","62.281","3.938"
"9","62.281","3.067"
"10","62.281","0.788"
"11","62.281","2.967"
"12","62.281","3.296"
"13","62.281","1.165"
"14","62.281","4.344"
"15","62.281","1.357"
"16","62.281","3.742"
"17","62.281","2.914"
"18","62.281","2.333"
"19","62.281","3.945"
"20","62.281","1.551"
"21","62.281","2.959"
"22","62.281","3.878"
"23","62.281","0.194"
"24","62.281","4.531"
"25","62.281","0.193"
"26","62.281","4.933"
"27","62.281","1.942"
"28","62.281","3.357"
"29","62.281","3.501"
"30","62.312","1.482"
"31","62.312","2.245"
"32","62.312","3.939"
"33","62.312","1.163"
"34","62.312","4.731"
"35","62.312","0.775"
"36","62.312","3.948"
"37","62.312","3.109"
"38","62.312","2.142"
"39","62.312","2.533"
"40","62.312","2.927"
"41","62.312","4.161"
"42","62.312","3.504"
"43","62.312","2.544"
"44","62.312","4.081"
"45","62.344","2.689"
"46","62.344","2.721"
"47","62.344","1.39"
"48","62.344","2.723"
"49","62.344","3.17"
"50","62.344","3.315"
"51","62.344","3.896"
"52","62.344","2.301"
"53","62.344","2.971"
"54","62.344","2.739"
"55","62.344","3.713"
"56","62.344","1.752"
"57","62.344","2.534"
"58","62.344","3.313"
"59","62.344","3.764"
"60","62.344","3.321"
"61","62.344","3.888"
"62","62.344","4.038"
"63","62.344","3.322"
"64","62.344","3.126"
"65","62.344","2.93"
"66","62.344","1.945"
"67","62.344","2.577"
"68","62.344","2.728"
"69","62.344","4.747"
"70","62.344","4.282"
"71","62.328","3.716"
"72","62.328","2.539"
"73","62.328","1.953"
"74","62.328","4.281"
"75","62.328","3.461"
"76","62.328","4.099"
"77","62.328","2.731"
"78","62.328","2.73"
"79","62.328","3.371"
"80","62.328","3.12"
"81","62.328","2.927"
"82","62.328","3.756"
"83","62.328","3.699"
"84","62.328","3.068"
"85","62.328","1.777"
"86","62.328","2.342"
"87","62.328","3.165"
"88","62.328","4.082"
"89","62.328","2.88"
"90","62.328","3.32"
"91","62.328","2.531"
"92","62.328","3.174"
"93","62.328","3.511"
"94","62.328","2.917"
"95","62.328","2.152"
"96","62.328","3.555"
"97","62.328","3.121"
"98","62.328","2.879"
"99","62.328","1.754"
"100","62.328","2.338"
"101","62.328","3.96"
"102","62.328","2.54"
"103","62.328","3.116"
"104","62.328","2.931"
"105","62.328","3.318"
"106","62.328","2.342"
"107","62.328","3.77"
"108","62.328","2.918"
"109","62.328","3.073"
"110","62.328","2.736"
"111","62.328","2.533"
"112","62.328","2.341"
"113","62.328","1.582"
"114","62.328","2.923"
"115","62.328","3.515"
"116","62.328","3.507"
"117","62.328","4.556"
"118","62.328","4.292"
"119","62.328","1.946"
"120","62.328","3.266"
"121","62.328","3.715"
"122","62.328","3.515"
"123","62.328","2.174"
"124","62.328","2.936"
"125","62.328","2.916"
"126","62.328","3.317"
"127","62.328","4.153"
"128","62.328","3.119"
"129","56.914","0.776"
"130","56.914","4.084"
"131","56.914","3.333"
"132","56.914","3.512"
"133","56.914","4.353"
"134","56.914","3.694"
"135","56.914","2.499"
"136","56.914","2.926"
"137","56.914","3.122"
"138","56.906","3.71"
"139","56.906","3.714"
"140","56.906","2.175"
"141","56.906","3.113"
"142","56.906","4.354"
"143","56.906","3.27"
"144","56.906","3.772"
"145","56.906","3.27"
"146","56.906","3.766"
"147","56.906","3.903"
"148","56.906","3.318"
"149","56.906","4.094"
"150","56.906","2.876"
"151","56.906","0.988"
"152","56.906","2.963"
"153","56.906","3.897"
"154","56.906","3.711"
"155","56.906","3.903"
"156","56.906","0.779"
"157","56.906","0.384"
