"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","703.09","0"
"2","703.09","0.39"
"3","703.09","0.198"
"4","703.09","1.166"
"5","703.09","0.195"
"6","703.09","0.975"
"7","703.09","0.585"
"8","703.09","0.585"
"9","703.09","0.975"
"10","703.094","0.975"
"11","703.094","0.198"
"12","703.094","0.586"
"13","703.094","0.584"
"14","703.094","0.585"
"15","703.094","0.39"
"16","703.094","0.585"
"17","703.098","0.585"
"18","703.098","0.585"
"19","703.043","0.975"
"20","703.043","0.39"
"21","703.016","0.593"
"22","703.016","0.195"
"23","703.023","0.585"
"24","703.023","0.196"
"25","703.023","0.584"
"26","703.023","0"
"27","703.023","0"
"28","703.023","0.391"
"29","703.023","0.587"
"30","703.023","1.168"
"31","703.023","0.195"
"32","703.023","0.198"
"33","703.023","0.586"
"34","703.023","0.391"
"35","703.023","0.195"
"36","703.023","0.195"
"37","703.023","0.391"
"38","703.023","0"
"39","703.023","0.975"
"40","703.023","0.39"
"41","703.023","0.782"
"42","703.023","0.586"
"43","703.023","0.78"
"44","703.023","0.585"
"45","703.023","0"
"46","703.023","0.781"
"47","703.023","0.978"
"48","703.023","0.584"
"49","703.023","0.395"
"50","703.023","0.974"
"51","703.023","0.586"
"52","703.023","0.39"
"53","703.023","0.392"
"54","703.023","0.584"
"55","703.023","0"
"56","703.023","0.977"
"57","703.023","0.195"
"58","703.023","0.395"
"59","703.023","0.195"
"60","703.023","0.585"
"61","703.023","0.391"
"62","703.023","1.171"
"63","703.023","0.586"
"64","703.023","0"
"65","703.023","0.777"
"66","703.023","1.171"
"67","703.023","1.171"
"68","703.023","0"
"69","703.023","0.78"
"70","703.023","0.783"
"71","703.023","0.777"
"72","703.023","0.585"
"73","703.023","0.79"
"74","703.023","0"
"75","703.023","0.195"
"76","703.023","0.586"
"77","703.023","0.39"
"78","703.023","0.39"
"79","703.023","0.586"
"80","703.023","0.39"
"81","703.023","0.585"
"82","703.023","0.782"
"83","703.023","0.195"
"84","703.023","0.195"
"85","703.023","0.584"
"86","703.023","0.594"
"87","703.023","0"
"88","703.023","0.391"
"89","703.023","0.195"
"90","703.023","0.39"
"91","703.023","0.973"
"92","703.023","0.976"
"93","703.004","0.778"
"94","703.004","0.586"
"95","702.988","0.198"
"96","702.988","0.391"
"97","702.988","0.195"
"98","702.988","0.195"
"99","702.988","0.778"
"100","702.988","0.781"
"101","702.988","0.779"
"102","702.988","0.39"
"103","702.988","0.39"
"104","702.988","0.79"
"105","702.988","0.583"
"106","702.988","0.589"
"107","702.988","0.585"
"108","702.988","0.195"
"109","702.988","0.39"
"110","702.988","0.39"
"111","702.988","0.975"
"112","702.988","0.585"
"113","702.988","0.391"
"114","702.988","0.39"
"115","702.988","0.391"
"116","703.004","0.587"
"117","703.004","0.584"
"118","703.004","0.586"
"119","703.004","0.198"
"120","703.004","0.585"
"121","703.004","0.586"
"122","703.004","0.781"
"123","703.004","0.195"
"124","703.004","0.584"
"125","703.004","0.195"
"126","703.004","0.391"
"127","703.004","0.391"
"128","703.004","0.975"
"129","703.004","0.583"
"130","703.004","0.195"
"131","703.004","0.391"
"132","703.004","0.974"
"133","703.004","0.791"
"134","703.004","0"
"135","703.004","0.974"
"136","703.004","1.168"
"137","703.004","0.584"
"138","703.004","0.586"
"139","703.004","0.196"
"140","703.004","0.78"
"141","703.004","0.39"
"142","703.004","0.782"
"143","703.004","0.395"
"144","703.004","0.39"
"145","703.004","0.585"
"146","703.004","0.975"
"147","703.004","0.973"
"148","703.004","1.171"
"149","703.004","0.585"
"150","703.004","0.195"
"151","703.004","1.364"
"152","703.004","0"
"153","703.004","0.395"
"154","703.004","0.781"
"155","703.004","0.196"
"156","703.004","0"
