"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","85.594","0.769"
"2","85.672","11.74"
"3","85.672","11.489"
"4","85.672","12.093"
"5","85.672","12.126"
"6","85.672","11.675"
"7","85.672","11.905"
"8","85.672","12.252"
"9","85.672","12.09"
"10","85.672","11.925"
"11","85.672","11.914"
"12","85.672","11.689"
"13","85.672","12.099"
"14","85.672","11.897"
"15","85.672","11.904"
"16","85.672","11.295"
"17","85.672","11.717"
"18","85.672","12.084"
"19","85.691","11.678"
"20","85.691","12.098"
"21","85.691","11.13"
"22","85.691","12.094"
"23","85.691","12.103"
"24","85.691","11.634"
"25","85.691","11.904"
"26","85.691","12.062"
"27","85.691","11.35"
"28","85.691","11.677"
"29","85.691","11.914"
"30","85.691","11.88"
"31","85.691","11.321"
"32","85.691","11.886"
"33","85.691","12.092"
"34","85.691","11.487"
"35","85.691","12.087"
"36","85.691","11.723"
"37","85.691","11.691"
"38","85.691","12.249"
"39","85.691","11.907"
"40","85.691","12.095"
"41","85.691","11.891"
"42","85.691","12.073"
"43","85.691","11.891"
"44","85.691","11.918"
"45","85.691","11.927"
"46","85.691","11.508"
"47","85.691","11.897"
"48","85.691","11.724"
"49","85.691","11.472"
"50","85.691","11.886"
"51","85.691","12.067"
"52","85.691","11.714"
"53","85.691","11.876"
"54","85.691","11.916"
"55","85.691","12.116"
"56","85.691","11.505"
"57","85.691","11.933"
"58","85.691","11.901"
"59","85.691","11.908"
"60","85.691","12.051"
"61","85.691","11.742"
"62","85.691","12.111"
"63","85.672","12.086"
"64","85.691","12.073"
"65","85.691","11.889"
"66","85.691","12.282"
"67","85.691","11.291"
"68","85.691","11.882"
"69","85.691","11.925"
"70","85.691","12.087"
"71","85.691","11.856"
"72","85.691","11.681"
"73","85.691","11.708"
"74","85.691","12.492"
"75","85.691","11.537"
"76","85.691","11.859"
"77","85.691","12.1"
"78","85.691","11.691"
"79","85.691","11.72"
"80","85.691","11.325"
"81","85.691","11.726"
"82","85.691","12.088"
"83","85.691","11.906"
"84","85.691","12.083"
"85","85.691","11.886"
"86","85.691","11.321"
"87","85.691","11.897"
"88","85.691","11.664"
"89","85.691","11.904"
"90","85.691","11.697"
"91","85.691","11.675"
"92","85.691","11.697"
"93","85.691","11.701"
"94","85.691","11.488"
"95","85.883","11.885"
"96","85.887","12.087"
"97","85.887","11.696"
"98","85.887","12.106"
"99","85.887","11.471"
"100","85.887","12.302"
"101","85.887","11.878"
"102","85.887","11.497"
"103","85.887","12.103"
"104","85.887","11.857"
"105","85.887","11.73"
"106","85.887","11.873"
"107","85.887","11.666"
"108","85.887","11.303"
"109","85.887","11.901"
"110","85.887","11.69"
"111","85.887","12.07"
"112","85.887","12.061"
"113","85.887","11.733"
"114","85.887","11.931"
"115","85.887","11.474"
"116","85.887","12.281"
"117","85.887","11.679"
"118","85.887","12.106"
"119","85.887","11.718"
"120","85.887","11.71"
"121","85.887","11.667"
"122","85.887","11.506"
"123","85.887","11.891"
"124","85.887","11.48"
"125","85.887","11.907"
"126","85.887","11.88"
"127","85.887","11.904"
"128","85.887","12.303"
"129","85.887","11.897"
"130","85.887","11.72"
"131","85.887","11.891"
"132","85.887","11.685"
"133","85.887","12.109"
"134","85.887","11.471"
"135","85.887","11.544"
"136","85.887","12.071"
"137","85.887","11.663"
"138","85.887","12.138"
"139","85.887","12.076"
"140","85.887","11.896"
"141","85.887","11.872"
"142","85.887","11.548"
"143","85.887","11.898"
"144","85.887","12.098"
"145","85.887","11.682"
"146","85.887","12.284"
"147","85.887","11.708"
"148","85.887","11.862"
"149","85.887","11.516"
"150","85.887","11.677"
"151","85.887","11.884"
"152","85.887","11.897"
"153","85.887","11.489"
"154","85.887","12.093"
"155","85.887","11.912"
"156","85.914","1.36"
