"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","584.344","0.195"
"2","584.352","0.391"
"3","584.352","0.779"
"4","584.359","0.39"
"5","584.367","1.152"
"6","584.375","0.585"
"7","584.383","0.198"
"8","584.387","0.195"
"9","584.398","0.928"
"10","584.398","0.208"
"11","584.402","0.779"
"12","584.406","0.389"
"13","584.406","1.726"
"14","584.418","0.198"
"15","584.418","0.195"
"16","584.422","0.778"
"17","584.426","0.391"
"18","584.426","0.585"
"19","584.434","0.198"
"20","584.438","0.585"
"21","584.562","0.778"
"22","584.855","0.973"
"23","584.859","0.39"
"24","584.863","0.781"
"25","584.867","0.766"
"26","584.871","1.192"
"27","584.871","0.195"
"28","584.871","0.198"
"29","584.871","0.974"
"30","584.875","0.585"
"31","584.875","0.384"
"32","584.891","1.366"
"33","584.914","0.781"
"34","584.926","0.595"
"35","584.926","0.781"
"36","584.922","0.782"
"37","584.945","0.585"
"38","584.945","0.781"
"39","584.949","0.779"
"40","584.957","0.198"
"41","584.957","0.389"
"42","584.961","0.385"
"43","584.961","0.79"
"44","584.961","0.575"
"45","584.961","0.397"
"46","584.965","1.171"
"47","584.969","0.197"
"48","584.977","0.39"
"49","584.992","0.974"
"50","584.996","0.195"
"51","585.004","0.576"
"52","585.004","0.197"
"53","585.012","0.593"
"54","585.02","0.195"
"55","585.02","0.391"
"56","585.02","0.977"
"57","585.023","0.389"
"58","585.035","0.962"
"59","585.039","0.39"
"60","585.043","0.391"
"61","585.043","0.779"
"62","585.047","0.99"
"63","585.047","0.195"
"64","585.047","0.391"
"65","585.047","0.195"
"66","585.055","0.792"
"67","585.055","0.978"
"68","585.062","0.975"
"69","585.066","0.781"
"70","585.07","0.778"
"71","585.07","0.768"
"72","585.07","0.396"
"73","585.07","0.975"
"74","585.074","0.78"
"75","585.074","0"
"76","585.082","0.781"
"77","585.09","0.39"
"78","585.105","0.976"
"79","585.105","0.781"
"80","585.105","0.584"
"81","585.105","0.575"
"82","585.113","0.396"
"83","585.121","0.39"
"84","585.129","0.195"
"85","585.137","0.198"
"86","585.137","0.972"
"87","585.141","0.768"
"88","585.145","0.585"
"89","585.152","0.195"
"90","585.16","0.397"
"91","585.164","1.363"
"92","585.168","0.195"
"93","585.176","0.195"
"94","585.176","1.771"
"95","585.176","0.768"
"96","585.184","0.794"
"97","585.188","0.975"
"98","585.195","0.781"
"99","585.199","0.585"
"100","585.203","0.977"
"101","585.207","1.172"
"102","585.211","0.782"
"103","585.211","0.975"
"104","585.223","0.975"
"105","585.227","0.391"
"106","585.234","0.39"
"107","585.238","0.585"
"108","585.238","0.39"
"109","585.246","0.196"
"110","585.254","0.196"
"111","585.254","0.586"
"112","585.258","0.391"
"113","585.258","0.586"
"114","585.266","0.586"
"115","585.273","0.39"
"116","585.289","0.587"
"117","585.289","1.153"
"118","585.297","0.991"
"119","585.301","0.781"
"120","585.301","0.977"
"121","585.305","0.587"
"122","585.309","0.39"
"123","585.312","0.782"
"124","585.312","0.385"
"125","585.312","0.795"
"126","585.312","0.577"
"127","585.312","0.976"
"128","585.297","0.196"
"129","585.316","0.595"
"130","585.316","0.385"
"131","585.316","0.793"
"132","585.336","0.39"
"133","585.34","0.578"
"134","585.34","0.391"
"135","585.34","0.781"
"136","585.34","0.585"
"137","585.34","0.792"
"138","585.355","0.393"
"139","585.359","0.389"
"140","585.359","0.77"
"141","585.363","0.198"
"142","585.363","0.383"
"143","585.363","0.396"
"144","585.367","0"
"145","585.375","0.792"
"146","585.379","1.173"
"147","585.383","0.585"
"148","585.387","0.586"
"149","585.391","0.391"
"150","585.395","0.586"
"151","585.395","0.391"
"152","585.398","0.782"
"153","585.402","0.385"
"154","585.402","0.391"
"155","585.406","0.78"
"156","585.414","0.396"
