"Segundo","MemoriaHostMiB","CpuHostPorcentaje"
"1","602.32","0"
"2","602.32","0.39"
"3","602.32","0.39"
"4","602.32","0.198"
"5","602.324","1.167"
"6","602.328","0.974"
"7","602.332","0.77"
"8","602.34","0.989"
"9","602.34","0.584"
"10","602.348","0.781"
"11","602.348","0.198"
"12","602.352","0.195"
"13","602.352","0.389"
"14","602.352","0.586"
"15","602.355","0.585"
"16","602.355","0.585"
"17","602.355","0.575"
"18","602.363","0.398"
"19","602.367","0.584"
"20","602.367","0"
"21","602.367","0.198"
"22","602.367","0.195"
"23","602.371","0.584"
"24","602.371","0.389"
"25","602.379","0.195"
"26","602.383","0.767"
"27","602.387","0.397"
"28","602.387","0.977"
"29","602.387","0.779"
"30","602.387","0.781"
"31","602.387","0.395"
"32","602.387","0.779"
"33","602.391","0.196"
"34","602.391","0.587"
"35","602.391","0.585"
"36","602.398","0.779"
"37","602.406","0.78"
"38","602.406","0.195"
"39","602.406","0"
"40","602.41","0.973"
"41","602.41","0"
"42","602.41","0.195"
"43","602.41","0.391"
"44","602.418","0.585"
"45","602.422","0.389"
"46","602.422","0.783"
"47","602.422","0.39"
"48","602.422","0.395"
"49","602.422","1.171"
"50","602.422","0.585"
"51","602.422","0.195"
"52","602.422","0.39"
"53","602.422","0"
"54","602.422","0.39"
"55","602.422","0.193"
"56","602.406","0.594"
"57","602.406","0.769"
"58","602.406","0.793"
"59","602.406","0.778"
"60","602.406","0.977"
"61","602.41","0.391"
"62","602.414","0.778"
"63","602.414","0.586"
"64","602.418","0.793"
"65","602.422","0.39"
"66","602.422","0"
"67","602.426","0.973"
"68","602.426","0"
"69","602.426","0.586"
"70","602.43","0.195"
"71","602.434","0.584"
"72","602.434","0.96"
"73","602.434","0.596"
"74","602.434","0.782"
"75","602.438","0.77"
"76","602.441","0.396"
"77","602.441","0.767"
"78","602.445","0.398"
"79","602.449","0.39"
"80","602.457","0.583"
"81","602.457","0"
"82","602.461","0.195"
"83","602.465","0.194"
"84","602.469","0.389"
"85","602.473","0.782"
"86","602.473","0.195"
"87","602.473","0.586"
"88","602.477","0.391"
"89","602.477","0.39"
"90","602.477","0.391"
"91","602.477","0.585"
"92","602.484","0.198"
"93","602.5","0.975"
"94","602.5","0.78"
"95","602.512","0.78"
"96","602.52","0.39"
"97","602.52","0.384"
"98","602.523","0.396"
"99","602.523","0.585"
"100","602.523","0.396"
"101","602.527","0"
"102","602.527","1.166"
"103","602.527","0.39"
"104","602.531","0.584"
"105","602.531","0.585"
"106","602.535","0.976"
"107","602.539","0.586"
"108","602.543","0.39"
"109","602.543","0"
"110","602.543","0.395"
"111","602.543","1.364"
"112","602.547","0.391"
"113","602.547","0.195"
"114","602.547","0.585"
"115","602.555","0.195"
"116","602.555","0.771"
"117","602.555","0.198"
"118","602.559","0.781"
"119","602.559","1.171"
"120","602.559","0.384"
"121","602.559","0.794"
"122","602.559","0.194"
"123","602.566","0"
"124","602.57","0.39"
"125","602.57","0.39"
"126","602.57","0.586"
"127","602.574","0.977"
"128","602.574","0"
"129","602.586","0.384"
"130","602.59","0.397"
"131","602.59","0.779"
"132","602.59","0.584"
"133","602.594","0.396"
"134","602.598","0.39"
"135","602.605","0.583"
"136","602.617","0.587"
"137","602.617","0.779"
"138","602.621","0.767"
"139","602.625","0.198"
"140","602.629","0.195"
"141","602.633","0.39"
"142","602.633","0"
"143","602.637","0.195"
"144","602.637","0.779"
"145","602.641","0.392"
"146","602.641","0.585"
"147","602.641","0.779"
"148","602.645","0.195"
"149","602.645","0.384"
"150","602.648","0.397"
"151","602.648","0.779"
"152","602.648","0.976"
"153","602.652","0.781"
"154","602.652","0.595"
"155","602.656","0.195"
"156","602.668","0.78"
"157","602.672","0.389"
